id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
14491	HCMC1040		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073705			8	8	2020-01-09	2020-01-09
14492	HCMC1389		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073706			8	8	2020-01-09	2020-01-09
14493	HCMC1213		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073720			8	8	2020-01-09	2020-01-09
14494	HCMC1187		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073722			8	8	2020-01-09	2020-01-09
14495	HCMC1277		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073724			8	8	2020-01-09	2020-01-09
14496	HCMC1056		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073725			8	8	2020-01-09	2020-01-09
14497	HCMC1446		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073726			8	8	2020-01-09	2020-01-09
14498	HCMC1401		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073734			8	8	2020-01-09	2020-01-09
14499	HCMC1282		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073748			8	8	2020-01-09	2020-01-09
14500	HCMC1464		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073749			8	8	2020-01-09	2020-01-09
14501	HCMC1307		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073751			8	8	2020-01-09	2020-01-09
14502	HCMC1479		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073752			8	8	2020-01-09	2020-01-09
14503	HCMC1017		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073753			8	8	2020-01-09	2020-01-09
14504	HCMC1070		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073754			8	8	2020-01-09	2020-01-09
14505	HCMC1459		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073756			8	8	2020-01-09	2020-01-09
14506	HCMC1067		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073769			8	8	2020-01-09	2020-01-09
14507	HCMC1359		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073775			8	8	2020-01-09	2020-01-09
14508	HCMC1268		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073778			8	8	2020-01-09	2020-01-09
14509	HCMC1041		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073792			8	8	2020-01-09	2020-01-09
14510	HCMC1490		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073795			8	8	2020-01-09	2020-01-09
14511	HCMC1131		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073797			8	8	2020-01-09	2020-01-09
14512	HCMC1013		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073798			8	8	2020-01-09	2020-01-09
14513	HCMC1122		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L1	1.1.1	draft	ENA SRA	SRR5073801			8	8	2020-01-09	2020-01-09
