id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
1355	ERR108160	ERR108160						Mycobacterium tuberculosis							draft	ENA SRA	ERR108160	17760		2	2	2014-12-12	2017-08-24
1356	ERR114508	ERR114508						Mycobacterium tuberculosis							draft	ENA SRA	ERR114508	17761		2	2	2014-12-12	2017-08-24
1357	ERR108434	ERR108434						Mycobacterium tuberculosis							draft	ENA SRA	ERR108434	17762		2	2	2014-12-12	2017-08-24
1358	ERR108433	ERR108433						Mycobacterium tuberculosis							draft	ENA SRA	ERR108433	17763		2	2	2014-12-12	2017-08-24
1359	ERR108499	ERR108499						Mycobacterium tuberculosis							draft	ENA SRA	ERR108499	17764		2	2	2014-12-12	2017-08-24
1360	ERR117634	ERR117634						Mycobacterium tuberculosis							draft	ENA SRA	ERR117634	17765		2	2	2014-12-12	2017-08-24
1361	ERR067761	ERR067761						Mycobacterium tuberculosis							draft	ENA SRA	ERR067761	17766		2	2	2014-12-12	2017-08-24
1362	ERR144595	ERR144595						Mycobacterium tuberculosis							draft	ENA SRA	ERR144595	17767		2	2	2014-12-12	2017-08-24
1363	ERR137250	ERR137250						Mycobacterium tuberculosis							draft	ENA SRA	ERR137250	17768		2	2	2014-12-12	2017-08-24
1364	ERR181946	ERR181946						Mycobacterium tuberculosis							draft	ENA SRA	ERR181946	17769		2	2	2014-12-12	2017-08-24
1365	ERR123931	ERR123931						Mycobacterium tuberculosis							draft	ENA SRA	ERR123931	17770		2	2	2014-12-12	2017-08-08
1366	ERR114427	ERR114427						Mycobacterium tuberculosis							draft	ENA SRA	ERR114427	17771		2	2	2014-12-12	2017-08-24
1367	ERR067723	ERR067723						Mycobacterium tuberculosis							draft	ENA SRA	ERR067723	17772		2	2	2014-12-12	2017-08-24
1368	ERR108151	ERR108151						Mycobacterium tuberculosis							draft	ENA SRA	ERR108151	17773		2	2	2014-12-12	2017-08-24
1369	ERR181914	ERR181914						Mycobacterium tuberculosis							draft	ENA SRA	ERR181914	17774		2	2	2014-12-12	2017-08-24
1370	ERR161096	ERR161096						Mycobacterium tuberculosis							draft	ENA SRA	ERR161096	17775		2	-1	2014-12-12	2022-06-29
1371	ERR171158	ERR171158						Mycobacterium tuberculosis							draft	ENA SRA	ERR171158	17776		2	2	2014-12-12	2017-08-24
1372	ERR067765	ERR067765						Mycobacterium tuberculosis							draft	ENA SRA	ERR067765	17777		2	2	2014-12-12	2017-08-24
1373	ERR108182	ERR108182						Mycobacterium tuberculosis							draft	ENA SRA	ERR108182	17778		2	2	2014-12-12	2017-08-24
1374	ERR114497	ERR114497						Mycobacterium tuberculosis							draft	ENA SRA	ERR114497	17779		2	2	2014-12-12	2017-08-24
1375	ERR144606	ERR144606						Mycobacterium tuberculosis							draft	ENA SRA	ERR144606	17780		2	2	2014-12-12	2017-08-24
1376	ERR171151	ERR171151						Mycobacterium tuberculosis							draft	ENA SRA	ERR171151	17781		2	2	2014-12-12	2017-08-24
1377	ERR108443	ERR108443						Mycobacterium tuberculosis							draft	ENA SRA	ERR108443	17782		2	2	2014-12-12	2017-08-24
1378	ERR123927	ERR123927						Mycobacterium tuberculosis							draft	ENA SRA	ERR123927	17783		2	2	2014-12-12	2017-08-08
1379	ERR123920	ERR123920						Mycobacterium tuberculosis							draft	ENA SRA	ERR123920	17784		2	2	2014-12-12	2017-08-10
1380	ERR114432	ERR114432						Mycobacterium tuberculosis							draft	ENA SRA	ERR114432	17785		2	2	2014-12-12	2017-08-24
1381	ERR176776	ERR176776						Mycobacterium tuberculosis							draft	ENA SRA	ERR176776	17786		2	2	2014-12-12	2017-08-10
1382	ERR067727	ERR067727						Mycobacterium tuberculosis							draft	ENA SRA	ERR067727	17787		2	2	2014-12-12	2017-08-24
1383	ERR158607	ERR158607						Mycobacterium tuberculosis							draft	ENA SRA	ERR158607	17788		2	2	2014-12-12	2017-08-24
1384	ERR133865	ERR133865						Mycobacterium tuberculosis							draft	ENA SRA	ERR133865	17789		2	2	2014-12-12	2017-08-24
1385	ERR114490	ERR114490						Mycobacterium tuberculosis							draft	ENA SRA	ERR114490	17790		2	2	2014-12-12	2017-08-24
1386	ERR158594	ERR158594						Mycobacterium tuberculosis							draft	ENA SRA	ERR158594	17791		2	2	2014-12-12	2017-08-24
1387	ERR067764	ERR067764						Mycobacterium tuberculosis							draft	ENA SRA	ERR067764	17792		2	2	2014-12-12	2017-08-24
1388	ERR067734	ERR067734						Mycobacterium tuberculosis							draft	ENA SRA	ERR067734	17793		2	2	2014-12-12	2017-08-24
1389	ERR161110	ERR161110						Mycobacterium tuberculosis							draft	ENA SRA	ERR161110	17794		2	2	2014-12-12	2017-08-16
1390	ERR161156	ERR161156						Mycobacterium tuberculosis							draft	ENA SRA	ERR161156	17795		2	2	2014-12-12	2017-08-24
1391	ERR114487	ERR114487						Mycobacterium tuberculosis							draft	ENA SRA	ERR114487	17796		2	2	2014-12-12	2017-08-24
1392	ERR181923	ERR181923						Mycobacterium tuberculosis							draft	ENA SRA	ERR181923	17797		2	2	2014-12-12	2017-08-24
1393	ERR108144	ERR108144						Mycobacterium tuberculosis							draft	ENA SRA	ERR108144	17798		2	2	2014-12-12	2017-08-24
1394	ERR117647	ERR117647						Mycobacterium tuberculosis							draft	ENA SRA	ERR117647	17799		2	2	2014-12-12	2017-08-10
1395	ERR181922	ERR181922						Mycobacterium tuberculosis							draft	ENA SRA	ERR181922	17800		2	2	2014-12-12	2017-08-24
1396	ERR133830	ERR133830						Mycobacterium tuberculosis							draft	ENA SRA	ERR133830	17801		2	2	2014-12-12	2017-08-10
1397	ERR161193	ERR161193						Mycobacterium tuberculosis							draft	ENA SRA	ERR161193	17802		2	2	2014-12-12	2017-08-24
1398	ERR161092	ERR161092						Mycobacterium tuberculosis							draft	ENA SRA	ERR161092	17803		2	2	2014-12-12	2017-08-24
1399	ERR114461	ERR114461						Mycobacterium tuberculosis							draft	ENA SRA	ERR114461	17804		2	2	2014-12-12	2017-08-10
1400	ERR123950	ERR123950						Mycobacterium tuberculosis							draft	ENA SRA	ERR123950	17805		2	2	2014-12-12	2017-08-24
1401	ERR158604	ERR158604						Mycobacterium tuberculosis							draft	ENA SRA	ERR158604	17806		2	2	2014-12-12	2017-08-24
1402	ERR133829	ERR133829						Mycobacterium tuberculosis							draft	ENA SRA	ERR133829	17807		2	2	2014-12-12	2017-08-10
1403	ERR114442	ERR114442						Mycobacterium tuberculosis							draft	ENA SRA	ERR114442	17808		2	2	2014-12-12	2017-08-24
1404	ERR137202	ERR137202						Mycobacterium tuberculosis							draft	ENA SRA	ERR137202	17809		2	2	2014-12-12	2017-08-24
1405	ERR117680	ERR117680						Mycobacterium tuberculosis							draft	ENA SRA	ERR117680	17810		2	2	2014-12-12	2017-08-24
1406	ERR161095	ERR161095						Mycobacterium tuberculosis							draft	ENA SRA	ERR161095	17811		2	2	2014-12-12	2017-08-24
1407	ERR176708	ERR176708						Mycobacterium tuberculosis							draft	ENA SRA	ERR176708	17812		2	2	2014-12-12	2017-08-24
1408	ERR067767	ERR067767						Mycobacterium tuberculosis							draft	ENA SRA	ERR067767	17813		2	2	2014-12-12	2017-08-24
1409	ERR144608	ERR144608						Mycobacterium tuberculosis							draft	ENA SRA	ERR144608	17814		2	2	2014-12-12	2017-08-24
1410	ERR108515	ERR108515						Mycobacterium tuberculosis							draft	ENA SRA	ERR108515	17815		2	2	2014-12-12	2017-08-24
1411	ERR108179	ERR108179						Mycobacterium tuberculosis							draft	ENA SRA	ERR108179	17816		2	2	2014-12-12	2017-08-24
1412	ERR108441	ERR108441						Mycobacterium tuberculosis							draft	ENA SRA	ERR108441	17817		2	2	2014-12-12	2017-08-24
1413	ERR190401	ERR190401						Mycobacterium tuberculosis							draft	ENA SRA	ERR190401	17818		2	2	2014-12-12	2017-08-24
1414	ERR158585	ERR158585						Mycobacterium tuberculosis							draft	ENA SRA	ERR158585	17819		2	2	2014-12-12	2017-08-24
1415	ERR108493	ERR108493						Mycobacterium tuberculosis							draft	ENA SRA	ERR108493	17820		2	2	2014-12-12	2017-08-24
1416	ERR108156	ERR108156						Mycobacterium tuberculosis							draft	ENA SRA	ERR108156	17821		2	2	2014-12-12	2017-08-24
1417	ERR158572	ERR158572						Mycobacterium tuberculosis							draft	ENA SRA	ERR158572	17822		2	2	2014-12-12	2017-08-24
1418	ERR108505	ERR108505						Mycobacterium tuberculosis							draft	ENA SRA	ERR108505	17823		2	2	2014-12-12	2017-08-24
1419	ERR161080	ERR161080						Mycobacterium tuberculosis							draft	ENA SRA	ERR161080	17824		2	2	2014-12-12	2017-08-24
1420	ERR176697	ERR176697						Mycobacterium tuberculosis							draft	ENA SRA	ERR176697	17825		2	2	2014-12-12	2017-08-24
1421	ERR181746	ERR181746						Mycobacterium tuberculosis							draft	ENA SRA	ERR181746	17826		2	2	2014-12-12	2017-08-24
1422	ERR123905	ERR123905						Mycobacterium tuberculosis							draft	ENA SRA	ERR123905	17827		2	2	2014-12-12	2017-08-10
1423	ERR161154	ERR161154						Mycobacterium tuberculosis							draft	ENA SRA	ERR161154	17828		2	2	2014-12-12	2017-08-24
1424	ERR067748	ERR067748						Mycobacterium tuberculosis							draft	ENA SRA	ERR067748	17829		2	2	2014-12-12	2017-08-24
1425	ERR181873	ERR181873						Mycobacterium tuberculosis							draft	ENA SRA	ERR181873	17830		2	2	2014-12-12	2017-08-24
1426	ERR108131	ERR108131						Mycobacterium tuberculosis							draft	ENA SRA	ERR108131	17831		2	2	2014-12-12	2017-08-24
1427	ERR161104	ERR161104						Mycobacterium tuberculosis							draft	ENA SRA	ERR161104	17832		2	2	2014-12-12	2017-08-24
1428	ERR108185	ERR108185						Mycobacterium tuberculosis							draft	ENA SRA	ERR108185	17833		2	2	2014-12-12	2017-08-24
1429	ERR181938	ERR181938						Mycobacterium tuberculosis							draft	ENA SRA	ERR181938	17834		2	2	2014-12-12	2017-08-24
1430	ERR161114	ERR161114						Mycobacterium tuberculosis							draft	ENA SRA	ERR161114	17835		2	2	2014-12-12	2017-08-24
1431	ERR137214	ERR137214						Mycobacterium tuberculosis							draft	ENA SRA	ERR137214	17836		2	2	2014-12-12	2017-08-24
1432	ERR114506	ERR114506						Mycobacterium tuberculosis							draft	ENA SRA	ERR114506	17837		2	2	2014-12-12	2017-08-24
1433	ERR114486	ERR114486						Mycobacterium tuberculosis							draft	ENA SRA	ERR114486	17838		2	2	2014-12-12	2017-08-24
1434	ERR161143	ERR161143						Mycobacterium tuberculosis							draft	ENA SRA	ERR161143	17839		2	2	2014-12-12	2017-08-24
1435	ERR190368	ERR190368						Mycobacterium tuberculosis							draft	ENA SRA	ERR190368	17840		2	2	2014-12-12	2017-08-24
1436	ERR171128	ERR171128						Mycobacterium tuberculosis							draft	ENA SRA	ERR171128	17841		2	2	2014-12-12	2017-08-24
1437	ERR161152	ERR161152						Mycobacterium tuberculosis							draft	ENA SRA	ERR161152	17842		2	2	2014-12-12	2017-08-24
1438	ERR176699	ERR176699						Mycobacterium tuberculosis							draft	ENA SRA	ERR176699	17843		2	2	2014-12-12	2017-08-24
1439	ERR181685	ERR181685						Mycobacterium tuberculosis							draft	ENA SRA	ERR181685	17844		2	2	2014-12-12	2017-08-24
1440	ERR161148	ERR161148						Mycobacterium tuberculosis							draft	ENA SRA	ERR161148	17845		2	2	2014-12-12	2017-08-24
1441	ERR181869	ERR181869						Mycobacterium tuberculosis							draft	ENA SRA	ERR181869	17846		2	2	2014-12-12	2017-08-24
1442	ERR181704	ERR181704						Mycobacterium tuberculosis							draft	ENA SRA	ERR181704	17847		2	2	2014-12-12	2017-08-10
1443	ERR158595	ERR158595						Mycobacterium tuberculosis							draft	ENA SRA	ERR158595	17848		2	2	2014-12-12	2017-08-24
1444	ERR108173	ERR108173						Mycobacterium tuberculosis							draft	ENA SRA	ERR108173	17849		2	2	2014-12-12	2017-08-24
1445	ERR108420	ERR108420						Mycobacterium tuberculosis							draft	ENA SRA	ERR108420	17850		2	2	2014-12-12	2017-08-24
1446	ERR108435	ERR108435						Mycobacterium tuberculosis							draft	ENA SRA	ERR108435	17851		2	2	2014-12-12	2017-08-24
1447	ERR108177	ERR108177						Mycobacterium tuberculosis							draft	ENA SRA	ERR108177	17852		2	2	2014-12-12	2017-08-24
1448	ERR108436	ERR108436						Mycobacterium tuberculosis							draft	ENA SRA	ERR108436	17853		2	2	2014-12-12	2017-08-24
1449	ERR067618	ERR067618						Mycobacterium tuberculosis							draft	ENA SRA	ERR067618	17854		2	2	2014-12-12	2017-08-24
1450	ERR190378	ERR190378						Mycobacterium tuberculosis							draft	ENA SRA	ERR190378	17855		2	2	2014-12-12	2017-08-24
1451	ERR123906	ERR123906						Mycobacterium tuberculosis							draft	ENA SRA	ERR123906	17856		2	2	2014-12-12	2017-08-24
1452	ERR181698	ERR181698						Mycobacterium tuberculosis							draft	ENA SRA	ERR181698	17857		2	2	2014-12-12	2017-08-24
1453	ERR133846	ERR133846						Mycobacterium tuberculosis							draft	ENA SRA	ERR133846	17858		2	2	2014-12-12	2017-08-24
1454	ERR161151	ERR161151						Mycobacterium tuberculosis							draft	ENA SRA	ERR161151	17859		2	2	2014-12-12	2017-08-24
1455	ERR161068	ERR161068						Mycobacterium tuberculosis							draft	ENA SRA	ERR161068	17860		2	2	2014-12-12	2017-08-24
1456	ERR190386	ERR190386						Mycobacterium tuberculosis							draft	ENA SRA	ERR190386	17861		2	2	2014-12-12	2017-08-24
1457	ERR108159	ERR108159						Mycobacterium tuberculosis							draft	ENA SRA	ERR108159	17862		2	2	2014-12-12	2017-08-24
1458	ERR181758	ERR181758						Mycobacterium tuberculosis							draft	ENA SRA	ERR181758	17863		2	2	2014-12-12	2017-08-24
1459	SRR326098	SRR326098						Mycobacterium tuberculosis							draft	ENA SRA	SRR326098	17864		2	2	2014-12-12	2017-08-10
1460	ERR161105	ERR161105						Mycobacterium tuberculosis							draft	ENA SRA	ERR161105	17865		2	2	2014-12-12	2017-08-24
1461	ERR108166	ERR108166						Mycobacterium tuberculosis							draft	ENA SRA	ERR108166	17866		2	2	2014-12-12	2017-08-24
1462	ERR171161	ERR171161						Mycobacterium tuberculosis							draft	ENA SRA	ERR171161	17867		2	2	2014-12-12	2017-08-24
1463	ERR133872	ERR133872						Mycobacterium tuberculosis							draft	ENA SRA	ERR133872	17868		2	2	2014-12-12	2017-08-24
1464	ERR114502	ERR114502						Mycobacterium tuberculosis							draft	ENA SRA	ERR114502	17869		2	2	2014-12-12	2017-08-24
1465	ERR108430	ERR108430						Mycobacterium tuberculosis							draft	ENA SRA	ERR108430	17870		2	2	2014-12-12	2017-08-24
1466	ERR108421	ERR108421						Mycobacterium tuberculosis							draft	ENA SRA	ERR108421	17871		2	2	2014-12-12	2017-08-24
1467	ERR108450	ERR108450						Mycobacterium tuberculosis							draft	ENA SRA	ERR108450	17872		2	2	2014-12-12	2017-08-24
1468	ERR108513	ERR108513						Mycobacterium tuberculosis							draft	ENA SRA	ERR108513	17873		2	2	2014-12-12	2017-08-24
1469	ERR171140	ERR171140						Mycobacterium tuberculosis							draft	ENA SRA	ERR171140	17874		2	2	2014-12-12	2017-08-24
1470	ERR108184	ERR108184						Mycobacterium tuberculosis							draft	ENA SRA	ERR108184	17875		2	2	2014-12-12	2017-08-24
1471	ERR171144	ERR171144						Mycobacterium tuberculosis							draft	ENA SRA	ERR171144	17876		2	2	2014-12-12	2017-08-24
1472	ERR114501	ERR114501						Mycobacterium tuberculosis							draft	ENA SRA	ERR114501	17877		2	2	2014-12-12	2017-08-24
1473	ERR133818	ERR133818						Mycobacterium tuberculosis							draft	ENA SRA	ERR133818	17878		2	2	2014-12-12	2017-08-24
1474	ERR190336	ERR190336						Mycobacterium tuberculosis							draft	ENA SRA	ERR190336	17879		2	2	2014-12-12	2017-08-24
1475	ERR133814	ERR133814						Mycobacterium tuberculosis							draft	ENA SRA	ERR133814	17880		2	2	2014-12-12	2017-08-24
1476	ERR108129	ERR108129						Mycobacterium tuberculosis							draft	ENA SRA	ERR108129	17881		2	2	2014-12-12	2017-08-24
1477	ERR108475	ERR108475						Mycobacterium tuberculosis							draft	ENA SRA	ERR108475	17882		2	2	2014-12-12	2017-08-24
1478	ERR108491	ERR108491						Mycobacterium tuberculosis							draft	ENA SRA	ERR108491	17883		2	2	2014-12-12	2017-08-24
1479	ERR171159	ERR171159						Mycobacterium tuberculosis							draft	ENA SRA	ERR171159	17884		2	2	2014-12-12	2017-08-24
1480	ERR181736	ERR181736						Mycobacterium tuberculosis							draft	ENA SRA	ERR181736	17885		2	2	2014-12-12	2017-08-24
1481	ERR108176	ERR108176						Mycobacterium tuberculosis							draft	ENA SRA	ERR108176	17886		2	2	2014-12-12	2017-08-24
1482	ERR182006	ERR182006						Mycobacterium tuberculosis							draft	ENA SRA	ERR182006	17887		2	2	2014-12-12	2017-08-24
1483	ERR161155	ERR161155						Mycobacterium tuberculosis							draft	ENA SRA	ERR161155	17888		2	2	2014-12-12	2017-08-24
1484	ERR181689	ERR181689						Mycobacterium tuberculosis							draft	ENA SRA	ERR181689	17889		2	2	2014-12-12	2017-08-24
1485	ERR108133	ERR108133						Mycobacterium tuberculosis							draft	ENA SRA	ERR108133	17890		2	2	2014-12-12	2017-08-24
1486	ERR108134	ERR108134						Mycobacterium tuberculosis							draft	ENA SRA	ERR108134	17891		2	2	2014-12-12	2017-08-24
1487	ERR108482	ERR108482						Mycobacterium tuberculosis							draft	ENA SRA	ERR108482	17892		2	2	2014-12-12	2017-08-24
1488	ERR117621	ERR117621						Mycobacterium tuberculosis							draft	ENA SRA	ERR117621	17893		2	2	2014-12-12	2017-08-24
1489	ERR144546	ERR144546						Mycobacterium tuberculosis							draft	ENA SRA	ERR144546	17894		2	2	2014-12-12	2017-08-10
1490	ERR190402	ERR190402						Mycobacterium tuberculosis							draft	ENA SRA	ERR190402	17895		2	2	2014-12-12	2017-08-24
1491	ERR067753	ERR067753						Mycobacterium tuberculosis							draft	ENA SRA	ERR067753	17896		2	2	2014-12-12	2017-08-24
1492	ERR067728	ERR067728						Mycobacterium tuberculosis							draft	ENA SRA	ERR067728	17897		2	2	2014-12-12	2017-08-24
1493	ERR117686	ERR117686						Mycobacterium tuberculosis							draft	ENA SRA	ERR117686	17898		2	2	2014-12-12	2017-08-08
1494	ERR181932	ERR181932						Mycobacterium tuberculosis							draft	ENA SRA	ERR181932	17899		2	2	2014-12-12	2017-08-24
1495	ERR108147	ERR108147						Mycobacterium tuberculosis							draft	ENA SRA	ERR108147	17900		2	2	2014-12-12	2017-08-24
1496	ERR190361	ERR190361						Mycobacterium tuberculosis							draft	ENA SRA	ERR190361	17901		2	2	2014-12-12	2017-08-24
1497	ERR108152	ERR108152						Mycobacterium tuberculosis							draft	ENA SRA	ERR108152	17902		2	2	2014-12-12	2017-08-24
1498	ERR108485	ERR108485						Mycobacterium tuberculosis							draft	ENA SRA	ERR108485	17903		2	2	2014-12-12	2017-08-24
1499	ERR108496	ERR108496						Mycobacterium tuberculosis							draft	ENA SRA	ERR108496	17904		2	2	2014-12-12	2017-08-24
1500	ERR117704	ERR117704						Mycobacterium tuberculosis							draft	ENA SRA	ERR117704	17905		2	2	2014-12-12	2017-08-24
1501	ERR108506	ERR108506						Mycobacterium tuberculosis							draft	ENA SRA	ERR108506	17906		2	2	2014-12-12	2017-08-24
1502	ERR117626	ERR117626						Mycobacterium tuberculosis							draft	ENA SRA	ERR117626	17907		2	2	2014-12-12	2017-08-24
1503	ERR108426	ERR108426						Mycobacterium tuberculosis							draft	ENA SRA	ERR108426	17908		2	2	2014-12-12	2017-08-24
1504	ERR108455	ERR108455						Mycobacterium tuberculosis							draft	ENA SRA	ERR108455	17909		2	2	2014-12-12	2017-08-24
1505	ERR108458	ERR108458						Mycobacterium tuberculosis							draft	ENA SRA	ERR108458	17910		2	2	2014-12-12	2017-08-24
1506	ERR108469	ERR108469						Mycobacterium tuberculosis							draft	ENA SRA	ERR108469	17911		2	2	2014-12-12	2017-08-24
1507	ERR108484	ERR108484						Mycobacterium tuberculosis							draft	ENA SRA	ERR108484	17912		2	2	2014-12-12	2017-08-24
1508	ERR108502	ERR108502						Mycobacterium tuberculosis							draft	ENA SRA	ERR108502	17913		2	2	2014-12-12	2017-08-24
1509	ERR108489	ERR108489						Mycobacterium tuberculosis							draft	ENA SRA	ERR108489	17914		2	2	2014-12-12	2017-08-24
1510	ERR108143	ERR108143						Mycobacterium tuberculosis							draft	ENA SRA	ERR108143	17915		2	2	2014-12-12	2017-08-24
1511	ERR108486	ERR108486						Mycobacterium tuberculosis							draft	ENA SRA	ERR108486	17916		2	2	2014-12-12	2017-08-24
1512	ERR108477	ERR108477						Mycobacterium tuberculosis							draft	ENA SRA	ERR108477	17917		2	2	2014-12-12	2017-08-24
1513	ERR067696	ERR067696						Mycobacterium tuberculosis							draft	ENA SRA	ERR067696	17918		2	2	2014-12-12	2017-08-24
1514	ERR108452	ERR108452						Mycobacterium tuberculosis							draft	ENA SRA	ERR108452	17919		2	2	2014-12-12	2017-08-24
1515	ERR108148	ERR108148						Mycobacterium tuberculosis							draft	ENA SRA	ERR108148	17920		2	2	2014-12-12	2017-08-24
1516	ERR108492	ERR108492						Mycobacterium tuberculosis							draft	ENA SRA	ERR108492	17921		2	2	2014-12-12	2017-08-24
1517	ERR114493	ERR114493						Mycobacterium tuberculosis							draft	ENA SRA	ERR114493	17922		2	2	2014-12-12	2017-08-24
1518	ERR190353	ERR190353						Mycobacterium tuberculosis							draft	ENA SRA	ERR190353	17923		2	2	2014-12-12	2017-08-24
1519	ERR123932	ERR123932						Mycobacterium tuberculosis							draft	ENA SRA	ERR123932	17924		2	2	2014-12-12	2017-08-24
1520	ERR181915	ERR181915						Mycobacterium tuberculosis							draft	ENA SRA	ERR181915	17925		2	2	2014-12-12	2017-08-24
1521	ERR161182	ERR161182						Mycobacterium tuberculosis							draft	ENA SRA	ERR161182	17926		2	2	2014-12-12	2017-08-24
1522	ERR181691	ERR181691						Mycobacterium tuberculosis							draft	ENA SRA	ERR181691	17927		2	2	2014-12-12	2017-08-24
1523	ERR181982	ERR181982						Mycobacterium tuberculosis							draft	ENA SRA	ERR181982	17928		2	2	2014-12-12	2017-08-24
1524	ERR108164	ERR108164						Mycobacterium tuberculosis							draft	ENA SRA	ERR108164	17929		2	2	2014-12-12	2017-08-24
1525	ERR108439	ERR108439						Mycobacterium tuberculosis							draft	ENA SRA	ERR108439	17930		2	2	2014-12-12	2017-08-24
1526	ERR181939	ERR181939						Mycobacterium tuberculosis							draft	ENA SRA	ERR181939	17931		2	2	2014-12-12	2017-08-24
1527	ERR190328	ERR190328						Mycobacterium tuberculosis							draft	ENA SRA	ERR190328	17932		2	2	2014-12-12	2017-08-24
1528	ERR190342	ERR190342						Mycobacterium tuberculosis							draft	ENA SRA	ERR190342	17933		2	2	2014-12-12	2017-08-24
1529	ERR190362	ERR190362						Mycobacterium tuberculosis							draft	ENA SRA	ERR190362	17934		2	2	2014-12-12	2017-08-24
1530	ERR067751	ERR067751						Mycobacterium tuberculosis							draft	ENA SRA	ERR067751	17935		2	2	2014-12-12	2017-08-24
1531	ERR108453	ERR108453						Mycobacterium tuberculosis							draft	ENA SRA	ERR108453	17936		2	2	2014-12-12	2017-08-24
1532	ERR114477	ERR114477						Mycobacterium tuberculosis							draft	ENA SRA	ERR114477	17937		2	2	2014-12-12	2017-08-24
1533	ERR190360	ERR190360						Mycobacterium tuberculosis							draft	ENA SRA	ERR190360	17938		2	2	2014-12-12	2017-08-24
1534	ERR067718	ERR067718						Mycobacterium tuberculosis							draft	ENA SRA	ERR067718	17939		2	2	2014-12-12	2017-08-24
1535	ERR190395	ERR190395						Mycobacterium tuberculosis							draft	ENA SRA	ERR190395	17940		2	2	2014-12-12	2017-08-24
1536	ERR067615	ERR067615						Mycobacterium tuberculosis							draft	ENA SRA	ERR067615	17941		2	2	2014-12-12	2017-08-24
1537	ERR067705	ERR067705						Mycobacterium tuberculosis							draft	ENA SRA	ERR067705	17942		2	2	2014-12-12	2017-08-24
1538	ERR133849	ERR133849						Mycobacterium tuberculosis							draft	ENA SRA	ERR133849	17943		2	2	2014-12-12	2017-08-24
1539	ERR108512	ERR108512						Mycobacterium tuberculosis							draft	ENA SRA	ERR108512	17944		2	2	2014-12-12	2017-08-24
1540	ERR108183	ERR108183						Mycobacterium tuberculosis							draft	ENA SRA	ERR108183	17945		2	2	2014-12-12	2017-08-24
1541	ERR108132	ERR108132						Mycobacterium tuberculosis							draft	ENA SRA	ERR108132	17946		2	2	2014-12-12	2017-08-24
1542	ERR108442	ERR108442						Mycobacterium tuberculosis							draft	ENA SRA	ERR108442	17947		2	2	2014-12-12	2017-08-17
1543	ERR181895	ERR181895						Mycobacterium tuberculosis							draft	ENA SRA	ERR181895	17948		2	2	2014-12-12	2017-08-24
1544	ERR181955	ERR181955						Mycobacterium tuberculosis							draft	ENA SRA	ERR181955	17949		2	2	2014-12-12	2017-08-10
1545	ERR108146	ERR108146						Mycobacterium tuberculosis							draft	ENA SRA	ERR108146	17950		2	2	2014-12-12	2017-08-24
1546	ERR067577	ERR067577						Mycobacterium tuberculosis							draft	ENA SRA	ERR067577	17951		2	2	2014-12-12	2017-08-24
1547	ERR181768	ERR181768						Mycobacterium tuberculosis							draft	ENA SRA	ERR181768	17952		2	2	2014-12-12	2017-08-24
1548	ERR108145	ERR108145						Mycobacterium tuberculosis							draft	ENA SRA	ERR108145	17953		2	2	2014-12-12	2017-08-24
1549	ERR161140	ERR161140						Mycobacterium tuberculosis							draft	ENA SRA	ERR161140	17954		2	2	2014-12-12	2017-08-24
1550	ERR181762	ERR181762						Mycobacterium tuberculosis							draft	ENA SRA	ERR181762	17955		2	2	2014-12-12	2017-08-24
1551	ERR190389	ERR190389						Mycobacterium tuberculosis							draft	ENA SRA	ERR190389	17956		2	2	2014-12-12	2017-08-24
1552	ERR108480	ERR108480						Mycobacterium tuberculosis							draft	ENA SRA	ERR108480	17957		2	2	2014-12-12	2017-08-24
1553	ERR190393	ERR190393						Mycobacterium tuberculosis							draft	ENA SRA	ERR190393	17958		2	2	2014-12-12	2017-08-24
1554	ERR190383	ERR190383						Mycobacterium tuberculosis							draft	ENA SRA	ERR190383	17959		2	2	2014-12-12	2017-08-24
1555	ERR067725	ERR067725						Mycobacterium tuberculosis							draft	ENA SRA	ERR067725	17960		2	2	2014-12-12	2017-08-24
1556	ERR161120	ERR161120						Mycobacterium tuberculosis							draft	ENA SRA	ERR161120	17961		2	2	2014-12-12	2017-08-24
1557	ERR108150	ERR108150						Mycobacterium tuberculosis							draft	ENA SRA	ERR108150	17962		2	2	2014-12-12	2017-08-24
1558	ERR190329	ERR190329						Mycobacterium tuberculosis							draft	ENA SRA	ERR190329	17963		2	2	2014-12-12	2017-08-10
1559	ERR114468	ERR114468						Mycobacterium tuberculosis							draft	ENA SRA	ERR114468	17964		2	-1	2014-12-12	2022-06-29
1560	ERR181951	ERR181951						Mycobacterium tuberculosis							draft	ENA SRA	ERR181951	17965		2	2	2014-12-12	2017-08-24
1561	ERR171152	ERR171152						Mycobacterium tuberculosis							draft	ENA SRA	ERR171152	17966		2	2	2014-12-12	2017-08-10
1562	ERR190390	ERR190390						Mycobacterium tuberculosis							draft	ENA SRA	ERR190390	17967		2	2	2014-12-12	2017-08-24
1563	ERR108468	ERR108468						Mycobacterium tuberculosis							draft	ENA SRA	ERR108468	17968		2	2	2014-12-12	2017-08-10
1564	ERR108448	ERR108448						Mycobacterium tuberculosis							draft	ENA SRA	ERR108448	17969		2	2	2014-12-12	2017-08-10
