BioSample	host_species
SAMEA1019041	Homo sapiens
SAMEA1019043	Homo sapiens
SAMEA1019047	Homo sapiens
SAMEA1019048	Homo sapiens
SAMEA1019049	Homo sapiens
SAMEA1019050	Homo sapiens
SAMEA1019052	Homo sapiens
SAMEA1019053	Homo sapiens
SAMEA1019054	Homo sapiens
SAMEA1019055	Homo sapiens
SAMEA1019056	Homo sapiens
SAMEA1019058	Homo sapiens
SAMEA1019062	Homo sapiens
SAMEA1019064	Homo sapiens
SAMEA1019066	Homo sapiens
SAMEA1019067	Homo sapiens
SAMEA1019068	Homo sapiens
SAMEA1019071	Homo sapiens
SAMEA1019075	Homo sapiens
SAMEA1019078	Homo sapiens
SAMEA1019080	Homo sapiens
SAMEA1019082	Homo sapiens
SAMEA1019084	Homo sapiens
SAMEA1019085	Homo sapiens
SAMEA1019092	Homo sapiens
SAMEA1019093	Homo sapiens
SAMEA1019094	Homo sapiens
SAMEA1019097	Homo sapiens
SAMEA1019099	Homo sapiens
SAMEA1019100	Homo sapiens
SAMEA1019101	Homo sapiens
SAMEA1019102	Homo sapiens
SAMEA1019108	Homo sapiens
SAMEA1019109	Homo sapiens
SAMEA1019110	Homo sapiens
SAMEA1019113	Homo sapiens
SAMEA1019118	Homo sapiens
SAMEA1019119	Homo sapiens
SAMEA1019120	Homo sapiens
SAMEA1019121	Homo sapiens
SAMEA1019123	Homo sapiens
SAMEA1019126	Homo sapiens
SAMEA1019128	Homo sapiens
SAMEA1019131	Homo sapiens
SAMEA1019133	Homo sapiens
SAMEA1019136	Homo sapiens
SAMEA1019137	Homo sapiens
SAMEA1019139	Homo sapiens
SAMEA1019142	Homo sapiens
SAMEA1019143	Homo sapiens
SAMEA1019145	Homo sapiens
SAMEA1019146	Homo sapiens
SAMEA1019150	Homo sapiens
SAMEA1019151	Homo sapiens
SAMEA1019154	Homo sapiens
SAMEA1019155	Homo sapiens
SAMEA1019157	Homo sapiens
SAMEA1019163	Homo sapiens
SAMEA1019164	Homo sapiens
SAMEA1019166	Homo sapiens
SAMEA1019169	Homo sapiens
SAMEA1019171	Homo sapiens
SAMEA1019174	Homo sapiens
SAMEA1019178	Homo sapiens
SAMEA1019179	Homo sapiens
SAMEA1019181	Homo sapiens
SAMEA1019183	Homo sapiens
SAMEA1019184	Homo sapiens
SAMEA1019185	Homo sapiens
SAMEA1019189	Homo sapiens
SAMEA1019192	Homo sapiens
SAMEA1019194	Homo sapiens
SAMEA1019196	Homo sapiens
SAMEA1019197	Homo sapiens
SAMEA1019198	Homo sapiens
SAMEA1019200	Homo sapiens
SAMEA1019202	Homo sapiens
SAMEA1019204	Homo sapiens
SAMEA1019210	Homo sapiens
SAMEA1019211	Homo sapiens
SAMEA1019212	Homo sapiens
SAMEA1019214	Homo sapiens
SAMEA1019215	Homo sapiens
SAMEA1019217	Homo sapiens
SAMEA1019219	Homo sapiens
SAMEA1019222	Homo sapiens
SAMEA1019224	Homo sapiens
SAMEA1019228	Homo sapiens
SAMEA1019229	Homo sapiens
SAMEA1019233	Homo sapiens
SAMEA1019237	Homo sapiens
SAMEA1019239	Homo sapiens
SAMEA1019244	Homo sapiens
SAMEA1019245	Homo sapiens
SAMEA1019246	Homo sapiens
SAMEA1019248	Homo sapiens
SAMEA1019249	Homo sapiens
SAMEA1019250	Homo sapiens
SAMEA1019251	Homo sapiens
SAMEA1019253	Homo sapiens
SAMEA1019256	Homo sapiens
SAMEA1019257	Homo sapiens
SAMEA1019258	Homo sapiens
SAMEA1019259	Homo sapiens
SAMEA1019263	Homo sapiens
SAMEA1019265	Homo sapiens
SAMEA1019266	Homo sapiens
SAMEA1019267	Homo sapiens
SAMEA1019270	Homo sapiens
SAMEA1019271	Homo sapiens
SAMEA1019272	Homo sapiens
SAMEA1019273	Homo sapiens
SAMEA1019274	Homo sapiens
SAMEA1019276	Homo sapiens
SAMEA1019281	Homo sapiens
SAMEA1019282	Homo sapiens
SAMEA1019285	Homo sapiens
SAMEA1019286	Homo sapiens
SAMEA1019288	Homo sapiens
SAMEA1019291	Homo sapiens
SAMEA1019293	Homo sapiens
SAMEA1019295	Homo sapiens
SAMEA1019297	Homo sapiens
SAMEA1019299	Homo sapiens
SAMEA1019300	Homo sapiens
SAMEA1019301	Homo sapiens
SAMEA1019302	Homo sapiens
SAMEA1019303	Homo sapiens
SAMEA1019305	Homo sapiens
