BioSample	country
SAMEA1019222	United Kingdom
SAMEA1019224	United Kingdom
SAMEA1019228	United Kingdom
SAMEA1019229	United Kingdom
SAMEA1019233	United Kingdom
SAMEA1019237	United Kingdom
SAMEA1019239	United Kingdom
SAMEA1019244	United Kingdom
SAMEA1019245	United Kingdom
SAMEA1019246	United Kingdom
SAMEA1019248	United Kingdom
SAMEA1019249	United Kingdom
SAMEA1019250	United Kingdom
SAMEA1019251	United Kingdom
SAMEA1019253	United Kingdom
SAMEA1019256	United Kingdom
SAMEA1019257	United Kingdom
SAMEA1019258	United Kingdom
SAMEA1019259	United Kingdom
SAMEA1019263	United Kingdom
SAMEA1019265	United Kingdom
SAMEA1019266	United Kingdom
SAMEA1019267	United Kingdom
SAMEA1019270	United Kingdom
SAMEA1019271	United Kingdom
SAMEA1019272	United Kingdom
SAMEA1019273	United Kingdom
SAMEA1019274	United Kingdom
SAMEA1019276	United Kingdom
SAMEA1019281	United Kingdom
SAMEA1019282	United Kingdom
SAMEA1019285	United Kingdom
SAMEA1019286	United Kingdom
SAMEA1019288	United Kingdom
SAMEA1019291	United Kingdom
SAMEA1019293	United Kingdom
SAMEA1019295	United Kingdom
SAMEA1019297	United Kingdom
SAMEA1019299	United Kingdom
SAMEA1019300	United Kingdom
SAMEA1019301	United Kingdom
SAMEA1019302	United Kingdom
SAMEA1019303	United Kingdom
SAMEA1019305	United Kingdom
SAMEA1019306	United Kingdom
SAMEA1019308	United Kingdom
SAMEA1019309	United Kingdom
SAMEA1019313	United Kingdom
SAMEA1019315	United Kingdom
SAMEA1019317	United Kingdom
SAMEA1019318	United Kingdom
SAMEA1019321	United Kingdom
SAMEA1019322	United Kingdom
SAMEA1019323	United Kingdom
SAMEA1019324	United Kingdom
SAMEA1019330	United Kingdom
SAMEA104027311	Denmark
SAMEA104679304	France
SAMEA104679305	France
SAMEA1317617	South Africa
SAMEA1317618	South Africa
SAMEA1317619	South Africa
SAMEA1317620	South Africa
SAMEA1317621	South Africa
SAMEA1317622	South Africa
SAMEA1317623	South Africa
SAMEA1317624	South Africa
SAMEA1317625	South Africa
SAMEA1317626	South Africa
SAMEA1317627	South Africa
SAMEA1317628	South Africa
SAMEA1317629	South Africa
SAMEA1317630	South Africa
SAMEA1317631	South Africa
SAMEA1317632	South Africa
SAMEA1317633	South Africa
SAMEA1317634	South Africa
SAMEA1317635	South Africa
SAMEA1317636	South Africa
SAMEA1317637	South Africa
SAMEA1317638	South Africa
SAMEA1317639	South Africa
SAMEA1317641	South Africa
SAMEA1317642	South Africa
SAMEA1317643	South Africa
SAMEA1317644	South Africa
SAMEA1317645	South Africa
SAMEA1317646	South Africa
SAMEA1317647	South Africa
SAMEA1317648	South Africa
SAMEA1317649	South Africa
SAMEA1317650	South Africa
SAMEA1317651	South Africa
SAMEA1317652	South Africa
SAMEA1317653	South Africa
SAMEA1317654	South Africa
SAMEA1317655	South Africa
SAMEA1317656	South Africa
SAMEA1317657	South Africa
SAMEA1317658	South Africa
SAMEA1317659	South Africa
SAMEA1317660	South Africa
SAMEA1317661	South Africa
SAMEA1317662	South Africa
SAMEA1317663	South Africa
SAMEA1317664	South Africa
SAMEA1317665	South Africa
SAMEA1317666	South Africa
SAMEA1317667	South Africa
SAMEA1317668	South Africa
SAMEA1317669	South Africa
SAMEA1317670	South Africa
SAMEA1317671	South Africa
SAMEA1317672	South Africa
SAMEA1317673	South Africa
SAMEA1317674	South Africa
SAMEA1317675	South Africa
SAMEA1317676	South Africa
SAMEA1317677	South Africa
SAMEA1317678	South Africa
SAMEA13188682	Madagascar
SAMEA13188685	Madagascar
SAMEA13188688	Madagascar
SAMEA13188689	Madagascar
SAMEA13188715	Madagascar
SAMEA13188731	Madagascar
SAMEA1403548	Russia
SAMEA1403549	Russia
SAMEA1403550	Russia
SAMEA1403551	Russia
SAMEA1403552	Russia
SAMEA1403553	Russia
SAMEA1403554	Russia
SAMEA1403555	Russia
SAMEA1403556	Russia
SAMEA1403557	Russia
SAMEA1403558	Russia
SAMEA1403559	Russia
SAMEA1403560	Russia
SAMEA1403561	Russia
SAMEA1403562	Russia
SAMEA1403563	Russia
SAMEA1403564	Russia
SAMEA1403565	Russia
SAMEA1403566	Russia
SAMEA1403567	Russia
SAMEA1403568	Russia
SAMEA1403569	Russia
SAMEA1403570	Russia
SAMEA1403571	Russia
SAMEA1403572	Russia
SAMEA1403573	Russia
SAMEA1403574	Russia
SAMEA1403575	Russia
SAMEA1403576	Russia
SAMEA1403577	Russia
SAMEA1403578	Russia
SAMEA1403579	Russia
SAMEA1403580	Russia
SAMEA1403581	Russia
SAMEA1403582	Russia
SAMEA1403583	Russia
SAMEA1403584	Russia
SAMEA1403585	Russia
SAMEA1403586	Russia
SAMEA1403587	Russia
SAMEA1403588	Russia
SAMEA1403589	Russia
SAMEA1403590	Russia
SAMEA1403591	Russia
SAMEA1403592	Russia
SAMEA1403593	Russia
SAMEA1403594	Russia
SAMEA1403595	Russia
SAMEA1403596	Russia
SAMEA1403597	Russia
