BioSample	host_tissue_sampled
SAMN02419635	Secretion
SAMN02419636	Secretion
SAMN02419637	Secretion
SAMN02419638	Secretion
SAMN02419639	Secretion
SAMN02419641	Secretion
SAMN02419642	Secretion
SAMN02419643	Secretion
SAMN02419644	Secretion
SAMN02419645	Secretion
SAMN02419646	Secretion
SAMN02419647	Secretion
SAMN02419648	Secretion
SAMN02419649	Secretion
SAMN02419650	Secretion
SAMN02419651	Secretion
SAMN02419653	Secretion
SAMN02419654	Secretion
SAMN02419655	Secretion
SAMN02419656	Secretion
SAMN02419657	Secretion
SAMN02419658	Secretion
SAMN02419659	Secretion
SAMN02419660	Secretion
SAMN02419661	Secretion
SAMN02419662	Secretion
SAMN02419663	Secretion
SAMN02419664	Secretion
SAMN02419665	Secretion
SAMN02419666	Secretion
SAMN02419667	Secretion
SAMN02419668	Secretion
SAMN02419669	Secretion
SAMN02419670	Secretion
SAMN02419671	Secretion
SAMN02419672	Secretion
SAMN02419673	Secretion
SAMN02419674	Secretion
SAMN02419675	Secretion
SAMN02419676	Secretion
SAMN02419677	Secretion
SAMN02419678	Secretion
SAMN02419679	Secretion
SAMN02419680	Secretion
SAMN02419681	Secretion
SAMN02419683	Secretion
SAMN02419685	Secretion
SAMN02419686	Secretion
SAMN02469670	Sputum
SAMN02469671	Sputum
SAMN02469672	Sputum
SAMN02470832	Sputum
SAMN02470833	Sputum
SAMN02471435	Cerebrospinal fluid
SAMN02471862	Sputum
SAMN02567698	Sputum
SAMN02567699	Sputum
SAMN02567700	Sputum
SAMN02567701	Sputum
SAMN02567702	Sputum
SAMN02567703	Sputum
SAMN02567704	Sputum
SAMN02567705	Sputum
SAMN02567706	Sputum
SAMN02567707	Sputum
SAMN02567708	Sputum
SAMN02567709	Sputum
SAMN02567710	Sputum
SAMN02567711	Sputum
SAMN02567712	Sputum
SAMN02567713	Sputum
SAMN02567714	Sputum
SAMN02567715	Sputum
SAMN02567716	Sputum
SAMN02567718	Sputum
SAMN02567719	Sputum
SAMN02567720	Sputum
SAMN02567721	Sputum
SAMN02567722	Sputum
SAMN02567723	Sputum
SAMN02567724	Sputum
SAMN02567725	Sputum
SAMN02567726	Sputum
SAMN02567727	Sputum
SAMN02567728	Sputum
SAMN02567729	Sputum
SAMN02567730	Sputum
SAMN02567731	Sputum
SAMN02567732	Sputum
SAMN02567760	Sputum
SAMN02585981	Sputum
SAMN02585983	Sputum
SAMN02585985	Sputum
SAMN02585986	Sputum
SAMN02585987	Sputum
SAMN02585988	Sputum
SAMN02585990	Sputum
SAMN02585991	Sputum
SAMN02585992	Sputum
SAMN02585993	Sputum
SAMN02585996	Sputum
SAMN02585997	Sputum
SAMN02585999	Sputum
SAMN02586000	Sputum
SAMN02586001	Sputum
SAMN02586002	Sputum
SAMN02586003	Sputum
SAMN02586004	Sputum
SAMN02586007	Sputum
SAMN02586008	Sputum
SAMN02586009	Sputum
SAMN02586011	Sputum
SAMN02586012	Sputum
SAMN02586014	Sputum
SAMN02586015	Sputum
SAMN02586016	Sputum
SAMN02586017	Sputum
SAMN02586018	Sputum
SAMN02586019	Sputum
SAMN02586021	Sputum
SAMN02586022	Sputum
SAMN02586023	Sputum
SAMN02586024	Sputum
SAMN02586025	Sputum
SAMN02586026	Sputum
SAMN02586027	Sputum
SAMN02586028	Sputum
SAMN02586029	Sputum
SAMN02586030	Sputum
SAMN02586031	Sputum
SAMN02586032	Sputum
SAMN02586033	Sputum
SAMN02586034	Sputum
SAMN02586035	Sputum
SAMN02586037	Sputum
SAMN02586039	Sputum
SAMN02586040	Sputum
SAMN02586041	Sputum
SAMN02586042	Sputum
SAMN02586043	Sputum
SAMN02586044	Sputum
SAMN02586045	Sputum
SAMN02586046	Sputum
SAMN02586047	Sputum
SAMN02586049	Sputum
SAMN02586050	Sputum
SAMN02586051	Sputum
SAMN02586054	Sputum
SAMN02586055	Sputum
SAMN02586056	Sputum
SAMN02586057	Sputum
SAMN02586058	Sputum
SAMN02586059	Sputum
SAMN02586060	Sputum
SAMN02586061	Sputum
SAMN02586062	Sputum
SAMN02586063	Sputum
SAMN02586064	Sputum
SAMN02586065	Sputum
SAMN02586066	Sputum
SAMN02586067	Sputum
SAMN02586068	Sputum
SAMN02586069	Sputum
SAMN02586070	Sputum
SAMN02586071	Sputum
SAMN02586072	Sputum
SAMN02586074	Sputum
SAMN02586075	Sputum
SAMN02586077	Sputum
SAMN02586079	Sputum
SAMN02586080	Sputum
SAMN02586081	Sputum
SAMN02586082	Sputum
SAMN02586083	Sputum
SAMN02586084	Sputum
SAMN02586085	Sputum
SAMN02586086	Sputum
SAMN02586087	Sputum
SAMN02586088	Sputum
SAMN02586089	Sputum
SAMN02586090	Sputum
SAMN02586091	Sputum
SAMN02586092	Sputum
SAMN02586093	Sputum
SAMN02586094	Sputum
SAMN02586095	Sputum
SAMN02586096	Sputum
SAMN02586097	Sputum
SAMN02586099	Sputum
SAMN02586100	Sputum
SAMN02586101	Sputum
SAMN02586102	Cerebrospinal fluid
SAMN02586103	Sputum
SAMN02586104	Sputum
SAMN02597331	Sputum
SAMN02597332	Sputum
SAMN02598956	Sputum
SAMN02598957	Sputum
SAMN02598958	Sputum
SAMN02598959	Sputum
SAMN02598960	Sputum
SAMN02598961	Sputum
SAMN02598962	Sputum
SAMN02598963	Sputum
SAMN02598964	Sputum
SAMN02598965	Sputum
SAMN02598966	Sputum
SAMN02598967	Sputum
SAMN02598968	Sputum
SAMN02598969	Sputum
SAMN02598970	Sputum
SAMN02598971	Sputum
SAMN02598972	Sputum
SAMN02598973	Sputum
SAMN02598974	Sputum
SAMN02598975	Sputum
SAMN02598976	Sputum
SAMN02598977	Sputum
SAMN02598978	Sputum
SAMN02598979	Sputum
SAMN02598980	Sputum
SAMN02598981	Sputum
SAMN02598982	Sputum
SAMN02598983	Sputum
SAMN02598984	Sputum
SAMN02598985	Sputum
SAMN02598986	Sputum
SAMN02598987	Sputum
SAMN02598988	Sputum
SAMN02598989	Sputum
SAMN02598990	Sputum
SAMN02598991	Sputum
SAMN02598992	Sputum
SAMN02598993	Sputum
SAMN02598994	Sputum
SAMN02598995	Sputum
SAMN02598996	Sputum
SAMN02598997	Sputum
SAMN02598998	Sputum
SAMN02598999	Sputum
SAMN02599000	Sputum
SAMN02599001	Sputum
SAMN02599002	Sputum
SAMN02599003	Sputum
SAMN02599004	Sputum
SAMN02599005	Sputum
SAMN02599006	Sputum
SAMN02599007	Sputum
SAMN02599008	Sputum
SAMN02599009	Sputum
SAMN02599010	Sputum
SAMN02599011	Sputum
SAMN02599012	Sputum
SAMN02599013	Sputum
SAMN02599014	Sputum
SAMN02599015	Sputum
SAMN02599016	Sputum
SAMN02599017	Sputum
SAMN02599018	Sputum
SAMN02599019	Sputum
SAMN02599020	Sputum
SAMN02599021	Sputum
SAMN02599022	Sputum
SAMN02599023	Sputum
SAMN02599024	Sputum
SAMN02599025	Sputum
SAMN02599026	Sputum
SAMN02599027	Sputum
SAMN02599028	Sputum
SAMN02599029	Sputum
SAMN02599030	Sputum
SAMN02599031	Sputum
SAMN02599032	Sputum
SAMN02599033	Sputum
SAMN02599034	Sputum
SAMN02599035	Sputum
SAMN02599036	Sputum
SAMN02599037	Sputum
SAMN02599038	Sputum
SAMN02599039	Sputum
SAMN02599040	Sputum
SAMN02599041	Sputum
SAMN02599042	Sputum
SAMN02599043	Sputum
SAMN02599044	Sputum
SAMN02599045	Sputum
SAMN02599046	Sputum
SAMN02599047	Sputum
SAMN02599048	Sputum
SAMN02599049	Sputum
SAMN02599050	Sputum
SAMN02599051	Sputum
SAMN02599052	Sputum
SAMN02599053	Sputum
SAMN02599054	Sputum
SAMN02599055	Sputum
SAMN02599056	Sputum
SAMN02599057	Sputum
SAMN02599058	Sputum
SAMN02599059	Sputum
SAMN02599060	Sputum
SAMN02599061	Sputum
SAMN02599062	Sputum
SAMN02599063	Sputum
SAMN02599064	Sputum
SAMN02599065	Sputum
SAMN02599066	Sputum
SAMN02599067	Sputum
SAMN02599068	Sputum
SAMN02599069	Sputum
SAMN02599070	Sputum
SAMN02599071	Sputum
SAMN02599072	Sputum
SAMN02599073	Sputum
SAMN02599074	Sputum
SAMN02599075	Sputum
SAMN02599076	Sputum
SAMN02599077	Sputum
SAMN02599078	Sputum
SAMN02599079	Sputum
SAMN02599080	Sputum
SAMN02599081	Sputum
SAMN02599082	Sputum
SAMN02599083	Sputum
SAMN02599084	Sputum
SAMN02599085	Sputum
SAMN02599086	Sputum
SAMN02599088	Sputum
SAMN02599089	Sputum
SAMN02599090	Sputum
SAMN02599091	Sputum
SAMN02599092	Sputum
SAMN02599093	Sputum
SAMN02599094	Sputum
SAMN02599095	Sputum
SAMN02599096	Sputum
SAMN02599097	Sputum
SAMN02599098	Sputum
SAMN02599099	Sputum
SAMN02599100	Sputum
SAMN02599101	Sputum
SAMN02599102	Sputum
SAMN02599103	Sputum
SAMN02599104	Sputum
SAMN02599105	Sputum
SAMN02599106	Sputum
SAMN02599107	Sputum
SAMN02599108	Sputum
SAMN02599109	Sputum
SAMN02599110	Sputum
SAMN02599111	Sputum
SAMN02599112	Sputum
SAMN02599113	Sputum
SAMN02599114	Sputum
SAMN02599115	Sputum
SAMN02599116	Sputum
SAMN02599117	Sputum
SAMN02599118	Sputum
SAMN02599119	Sputum
SAMN02599120	Sputum
SAMN02599121	Sputum
SAMN02599122	Sputum
SAMN02599123	Sputum
SAMN02599124	Sputum
SAMN02599125	Sputum
SAMN02599126	Sputum
SAMN02599127	Sputum
SAMN02599129	Sputum
SAMN02599130	Sputum
SAMN02599131	Sputum
SAMN02599132	Sputum
SAMN02599133	Sputum
SAMN02599134	Sputum
SAMN02599135	Sputum
SAMN02599136	Sputum
SAMN02599137	Sputum
SAMN02599138	Sputum
SAMN02599140	Sputum
SAMN02599141	Sputum
SAMN02599142	Sputum
SAMN02599143	Sputum
SAMN02599144	Sputum
SAMN02599145	Sputum
