BioSample	host_disease
SAMN09566601	Tuberculosis
SAMN09566602	Tuberculosis
SAMN09566603	Tuberculosis
SAMN09566604	Tuberculosis
SAMN09566605	Tuberculosis
SAMN09566606	Tuberculosis
SAMN09566607	Tuberculosis
SAMN09566608	Tuberculosis
SAMN09566609	Tuberculosis
SAMN09566610	Tuberculosis
SAMN09566611	Tuberculosis
SAMN09566612	Tuberculosis
SAMN09566613	Tuberculosis
SAMN09566614	Tuberculosis
SAMN09566615	Tuberculosis
SAMN09566616	Tuberculosis
SAMN09566617	Tuberculosis
SAMN09566618	Tuberculosis
SAMN09566619	Tuberculosis
SAMN09566621	Tuberculosis
SAMN09566622	Tuberculosis
SAMN09566623	Tuberculosis
SAMN09566624	Tuberculosis
SAMN09566625	Tuberculosis
SAMN09566626	Tuberculosis
SAMN09566627	Tuberculosis
SAMN09566628	Tuberculosis
SAMN09566629	Tuberculosis
SAMN09566630	Tuberculosis
SAMN09566631	Tuberculosis
SAMN09566632	Tuberculosis
SAMN09566633	Tuberculosis
SAMN09566634	Tuberculosis
SAMN09566635	Tuberculosis
SAMN09566636	Tuberculosis
SAMN09566637	Tuberculosis
SAMN09566638	Tuberculosis
SAMN09566639	Tuberculosis
SAMN09566640	Tuberculosis
SAMN09566641	Tuberculosis
SAMN09566642	Tuberculosis
SAMN09566643	Tuberculosis
SAMN09566644	Tuberculosis
SAMN09566645	Tuberculosis
SAMN09566646	Tuberculosis
SAMN09566647	Tuberculosis
SAMN09566648	Tuberculosis
SAMN09566649	Tuberculosis
SAMN09566650	Tuberculosis
SAMN09566651	Tuberculosis
SAMN09566652	Tuberculosis
SAMN09566653	Tuberculosis
SAMN09566654	Tuberculosis
SAMN09566655	Tuberculosis
SAMN09566656	Tuberculosis
SAMN09566657	Tuberculosis
SAMN09566658	Tuberculosis
SAMN09566659	Tuberculosis
SAMN09566660	Tuberculosis
SAMN09566661	Tuberculosis
SAMN09566662	Tuberculosis
SAMN09566663	Tuberculosis
SAMN09566664	Tuberculosis
SAMN09566665	Tuberculosis
SAMN09566666	Tuberculosis
SAMN09566667	Tuberculosis
SAMN09566668	Tuberculosis
SAMN09566669	Tuberculosis
SAMN09566670	Tuberculosis
SAMN09566671	Tuberculosis
SAMN09566672	Tuberculosis
SAMN09566673	Tuberculosis
SAMN09566674	Tuberculosis
SAMN09566675	Tuberculosis
SAMN09566676	Tuberculosis
SAMN09566677	Tuberculosis
SAMN09566678	Tuberculosis
SAMN09566679	Tuberculosis
SAMN09566680	Tuberculosis
SAMN09566681	Tuberculosis
SAMN09566682	Tuberculosis
SAMN09566683	Tuberculosis
SAMN09566684	Tuberculosis
SAMN09566685	Tuberculosis
SAMN09566686	Tuberculosis
SAMN09566687	Tuberculosis
SAMN09566688	Tuberculosis
SAMN09566689	Tuberculosis
SAMN09566690	Tuberculosis
SAMN09566691	Tuberculosis
SAMN09566692	Tuberculosis
SAMN09566693	Tuberculosis
SAMN09566694	Tuberculosis
SAMN09566695	Tuberculosis
SAMN09566696	Tuberculosis
SAMN09566697	Tuberculosis
SAMN09566698	Tuberculosis
SAMN09566699	Tuberculosis
SAMN09566700	Tuberculosis
SAMN09566701	Tuberculosis
SAMN09566702	Tuberculosis
SAMN09566703	Tuberculosis
SAMN09566704	Tuberculosis
SAMN09566705	Tuberculosis
SAMN09566706	Tuberculosis
SAMN09566707	Tuberculosis
SAMN09566708	Tuberculosis
SAMN09566709	Tuberculosis
SAMN09566710	Tuberculosis
SAMN09566711	Tuberculosis
SAMN09566712	Tuberculosis
SAMN09566713	Tuberculosis
SAMN09566714	Tuberculosis
SAMN09566715	Tuberculosis
SAMN09566716	Tuberculosis
SAMN09566717	Tuberculosis
SAMN09566718	Tuberculosis
SAMN09566719	Tuberculosis
SAMN09566720	Tuberculosis
SAMN09566721	Tuberculosis
SAMN09566722	Tuberculosis
SAMN09566723	Tuberculosis
SAMN09566724	Tuberculosis
SAMN09566725	Tuberculosis
SAMN09566726	Tuberculosis
SAMN09566728	Tuberculosis
SAMN09566729	Tuberculosis
SAMN09566730	Tuberculosis
SAMN09566731	Tuberculosis
SAMN09811670	Tuberculosis
SAMN09811671	Tuberculosis
SAMN10120074	Tuberculosis
SAMN10120075	Tuberculosis
SAMN10120076	Tuberculosis
SAMN10120077	Tuberculosis
SAMN10120078	Tuberculosis
SAMN10120079	Tuberculosis
SAMN10120080	Tuberculosis
SAMN10120081	Tuberculosis
SAMN10120082	Tuberculosis
SAMN10120083	Tuberculosis
SAMN10120084	Tuberculosis
SAMN10120085	Tuberculosis
SAMN10120086	Tuberculosis
SAMN10120087	Tuberculosis
SAMN10120088	Tuberculosis
SAMN10120089	Tuberculosis
SAMN10278076	Tuberculosis
SAMN10279424	Tuberculosis
SAMN10386492	Tuberculosis
SAMN10386493	Tuberculosis
SAMN10386494	Tuberculosis
SAMN10386495	Tuberculosis
SAMN10386496	Tuberculosis
SAMN10386497	Tuberculosis
SAMN10386498	Tuberculosis
SAMN10587724	infiltrative tuberculosis
SAMN10587736	tuberculoma
SAMN10588750	infiltrative tuberculosis
SAMN10589319	infiltrative tuberculosis
SAMN10589489	infiltrative tuberculosis
SAMN10592335	infiltrative tuberculosis
SAMN10592336	infiltrative tuberculosis
SAMN10592345	infiltrative tuberculosis
SAMN10592348	disseminated tuberculosis
SAMN10592494	infiltrative tuberculosis
SAMN10592500	infiltrative tuberculosis
SAMN10593020	infiltrative tuberculosis
SAMN10593042	tuberculoma
SAMN10593104	tuberculoma
SAMN10593109	fibro-cavernous tuberculosis
SAMN10593121	infiltrative tuberculosis
SAMN10593327	infiltrative tuberculosis
SAMN10659527	Tuberculosis
SAMN10659528	Tuberculosis
SAMN10659529	Tuberculosis
SAMN10659530	Tuberculosis
SAMN10659531	Tuberculosis
SAMN10659532	Tuberculosis
SAMN10659533	Tuberculosis
SAMN10659534	Tuberculosis
SAMN10659535	Tuberculosis
SAMN10659536	Tuberculosis
SAMN10697415	Tuberculosis
SAMN10697416	Tuberculosis
SAMN10697417	Tuberculosis
SAMN10697418	Tuberculosis
SAMN10697419	Tuberculosis
SAMN10697420	Tuberculosis
SAMN10697421	Tuberculosis
SAMN10697422	Tuberculosis
SAMN10697423	Tuberculosis
SAMN10697424	Tuberculosis
SAMN10697425	Tuberculosis
SAMN10697426	Tuberculosis
SAMN10697427	Tuberculosis
SAMN10697428	Tuberculosis
SAMN10697429	Tuberculosis
SAMN10697430	Tuberculosis
SAMN10697431	Tuberculosis
SAMN10697432	Tuberculosis
SAMN10697433	Tuberculosis
SAMN10697434	Tuberculosis
SAMN10697435	Tuberculosis
SAMN10697436	Tuberculosis
SAMN10697437	Tuberculosis
SAMN10697438	Tuberculosis
SAMN10697439	Tuberculosis
SAMN10697440	Tuberculosis
SAMN10697441	Tuberculosis
SAMN10697442	Tuberculosis
SAMN10697443	Tuberculosis
SAMN10697444	Tuberculosis
SAMN10697445	Tuberculosis
SAMN10697446	Tuberculosis
SAMN10697447	Tuberculosis
SAMN10697448	Tuberculosis
SAMN10697449	Tuberculosis
SAMN10697450	Tuberculosis
SAMN10697451	Tuberculosis
SAMN10697452	Tuberculosis
SAMN10697453	Tuberculosis
SAMN10697454	Tuberculosis
SAMN10697455	Tuberculosis
SAMN10697456	Tuberculosis
SAMN10697457	Tuberculosis
SAMN10697459	Tuberculosis
SAMN10697460	Tuberculosis
SAMN10697461	Tuberculosis
SAMN10697462	Tuberculosis
SAMN10697463	Tuberculosis
SAMN10697464	Tuberculosis
SAMN10697465	Tuberculosis
SAMN10697466	Tuberculosis
SAMN10697467	Tuberculosis
SAMN10697468	Tuberculosis
SAMN10697469	Tuberculosis
SAMN10697470	Tuberculosis
SAMN10697471	Tuberculosis
SAMN10697472	Tuberculosis
SAMN10697473	Tuberculosis
SAMN10697474	Tuberculosis
SAMN10697475	Tuberculosis
SAMN10697476	Tuberculosis
SAMN10697477	Tuberculosis
SAMN10697478	Tuberculosis
SAMN10697479	Tuberculosis
SAMN10697480	Tuberculosis
SAMN10697481	Tuberculosis
SAMN10697482	Tuberculosis
SAMN10697483	Tuberculosis
SAMN10697484	Tuberculosis
SAMN10697485	Tuberculosis
SAMN10697486	Tuberculosis
SAMN10697487	Tuberculosis
SAMN10697488	Tuberculosis
SAMN10697489	Tuberculosis
SAMN10697490	Tuberculosis
SAMN10697491	Tuberculosis
SAMN10697492	Tuberculosis
SAMN10697493	Tuberculosis
SAMN10697494	Tuberculosis
SAMN10697495	Tuberculosis
SAMN10697496	Tuberculosis
SAMN10697497	Tuberculosis
SAMN10697498	Tuberculosis
SAMN10697499	Tuberculosis
SAMN10697500	Tuberculosis
SAMN10697501	Tuberculosis
SAMN10697502	Tuberculosis
SAMN10697503	Tuberculosis
SAMN10697504	Tuberculosis
SAMN10697505	Tuberculosis
SAMN10697506	Tuberculosis
SAMN10697507	Tuberculosis
SAMN10697508	Tuberculosis
SAMN10697509	Tuberculosis
SAMN10697510	Tuberculosis
SAMN10697511	Tuberculosis
SAMN10697512	Tuberculosis
SAMN10697513	Tuberculosis
SAMN10697514	Tuberculosis
SAMN10697515	Tuberculosis
SAMN10697516	Tuberculosis
SAMN10697517	Tuberculosis
SAMN10697518	Tuberculosis
SAMN10697519	Tuberculosis
SAMN10697520	Tuberculosis
SAMN10697521	Tuberculosis
SAMN10697522	Tuberculosis
SAMN10697523	Tuberculosis
SAMN10697524	Tuberculosis
SAMN10697525	Tuberculosis
SAMN10697526	Tuberculosis
SAMN10697527	Tuberculosis
SAMN10697528	Tuberculosis
SAMN10697529	Tuberculosis
SAMN10697530	Tuberculosis
SAMN10697531	Tuberculosis
SAMN10697532	Tuberculosis
SAMN10697533	Tuberculosis
SAMN10697534	Tuberculosis
SAMN10697535	Tuberculosis
SAMN10697536	Tuberculosis
SAMN10697537	Tuberculosis
SAMN10697538	Tuberculosis
SAMN10697539	Tuberculosis
SAMN10697540	Tuberculosis
SAMN10697541	Tuberculosis
SAMN10697542	Tuberculosis
SAMN10697543	Tuberculosis
SAMN10697544	Tuberculosis
SAMN10697545	Tuberculosis
SAMN10697546	Tuberculosis
SAMN10697547	Tuberculosis
SAMN10697548	Tuberculosis
SAMN10697549	Tuberculosis
SAMN10697550	Tuberculosis
SAMN10697551	Tuberculosis
SAMN10697552	Tuberculosis
SAMN10697553	Tuberculosis
SAMN10697554	Tuberculosis
SAMN10697555	Tuberculosis
SAMN10697556	Tuberculosis
SAMN10697557	Tuberculosis
SAMN10697558	Tuberculosis
SAMN10697559	Tuberculosis
SAMN10697560	Tuberculosis
SAMN10697561	Tuberculosis
SAMN10697562	Tuberculosis
SAMN10697563	Tuberculosis
SAMN10697564	Tuberculosis
SAMN10697565	Tuberculosis
SAMN10697566	Tuberculosis
SAMN10697567	Tuberculosis
SAMN10697568	Tuberculosis
SAMN10697569	Tuberculosis
SAMN10697570	Tuberculosis
SAMN10697571	Tuberculosis
SAMN10697572	Tuberculosis
SAMN10697573	Tuberculosis
SAMN10697574	Tuberculosis
SAMN10697575	Tuberculosis
SAMN10697576	Tuberculosis
SAMN10697577	Tuberculosis
SAMN10697578	Tuberculosis
SAMN10697579	Tuberculosis
SAMN10697580	Tuberculosis
SAMN10697581	Tuberculosis
SAMN10697582	Tuberculosis
SAMN10697583	Tuberculosis
SAMN10697585	Tuberculosis
SAMN10697586	Tuberculosis
SAMN10697587	Tuberculosis
SAMN10697588	Tuberculosis
SAMN10697589	Tuberculosis
SAMN10697590	Tuberculosis
SAMN10697591	Tuberculosis
SAMN10697592	Tuberculosis
SAMN10697593	Tuberculosis
SAMN10697594	Tuberculosis
SAMN10697595	Tuberculosis
SAMN10697596	Tuberculosis
SAMN10697597	Tuberculosis
SAMN10697598	Tuberculosis
SAMN10697599	Tuberculosis
SAMN10697600	Tuberculosis
SAMN10697601	Tuberculosis
SAMN10697602	Tuberculosis
SAMN10697603	Tuberculosis
SAMN10697604	Tuberculosis
SAMN10697605	Tuberculosis
SAMN10697606	Tuberculosis
SAMN10697607	Tuberculosis
SAMN10697608	Tuberculosis
SAMN10697609	Tuberculosis
SAMN10697610	Tuberculosis
SAMN10697611	Tuberculosis
SAMN10697612	Tuberculosis
SAMN10697613	Tuberculosis
SAMN10697614	Tuberculosis
SAMN10697615	Tuberculosis
SAMN10697616	Tuberculosis
SAMN10697617	Tuberculosis
SAMN10697618	Tuberculosis
SAMN10697619	Tuberculosis
SAMN10697620	Tuberculosis
SAMN10697621	Tuberculosis
SAMN10697622	Tuberculosis
SAMN10697623	Tuberculosis
SAMN10697624	Tuberculosis
SAMN10697625	Tuberculosis
SAMN10697626	Tuberculosis
SAMN10697627	Tuberculosis
SAMN10697628	Tuberculosis
SAMN10697629	Tuberculosis
SAMN10697630	Tuberculosis
SAMN10697631	Tuberculosis
SAMN10697632	Tuberculosis
SAMN10697633	Tuberculosis
SAMN10697634	Tuberculosis
SAMN10697635	Tuberculosis
SAMN10697636	Tuberculosis
SAMN10697637	Tuberculosis
SAMN10697638	Tuberculosis
SAMN10697639	Tuberculosis
SAMN10697640	Tuberculosis
SAMN10697642	Tuberculosis
SAMN10697643	Tuberculosis
SAMN10697644	Tuberculosis
SAMN10697645	Tuberculosis
SAMN10697646	Tuberculosis
SAMN10697647	Tuberculosis
SAMN10697648	Tuberculosis
SAMN10697649	Tuberculosis
SAMN10697650	Tuberculosis
SAMN10697651	Tuberculosis
SAMN10697652	Tuberculosis
SAMN10697653	Tuberculosis
SAMN10697654	Tuberculosis
SAMN10697655	Tuberculosis
SAMN10697656	Tuberculosis
SAMN10697657	Tuberculosis
SAMN10697658	Tuberculosis
SAMN10697659	Tuberculosis
SAMN10697660	Tuberculosis
SAMN10697661	Tuberculosis
SAMN10697662	Tuberculosis
SAMN10697663	Tuberculosis
SAMN10697664	Tuberculosis
SAMN10697665	Tuberculosis
SAMN10697666	Tuberculosis
SAMN10697667	Tuberculosis
SAMN10697668	Tuberculosis
SAMN10697669	Tuberculosis
SAMN10697670	Tuberculosis
SAMN10697671	Tuberculosis
SAMN10697672	Tuberculosis
SAMN10697673	Tuberculosis
SAMN10697674	Tuberculosis
SAMN10697675	Tuberculosis
SAMN10697676	Tuberculosis
SAMN10697677	Tuberculosis
SAMN10697678	Tuberculosis
SAMN10697679	Tuberculosis
SAMN10697680	Tuberculosis
SAMN10697681	Tuberculosis
SAMN10697682	Tuberculosis
SAMN10697683	Tuberculosis
SAMN10697684	Tuberculosis
SAMN10697685	Tuberculosis
SAMN10697686	Tuberculosis
SAMN10697687	Tuberculosis
SAMN10697688	Tuberculosis
SAMN10697689	Tuberculosis
SAMN10697690	Tuberculosis
SAMN10697691	Tuberculosis
SAMN10697692	Tuberculosis
SAMN10697693	Tuberculosis
SAMN10697694	Tuberculosis
SAMN10697695	Tuberculosis
SAMN10697696	Tuberculosis
SAMN10697697	Tuberculosis
SAMN10697698	Tuberculosis
SAMN10697699	Tuberculosis
SAMN10697700	Tuberculosis
SAMN10697701	Tuberculosis
SAMN10697702	Tuberculosis
SAMN10697703	Tuberculosis
SAMN10697704	Tuberculosis
SAMN10697705	Tuberculosis
SAMN10697706	Tuberculosis
SAMN10697707	Tuberculosis
SAMN10697708	Tuberculosis
SAMN10697709	Tuberculosis
SAMN10697710	Tuberculosis
SAMN10697711	Tuberculosis
SAMN10697712	Tuberculosis
SAMN10697713	Tuberculosis
SAMN10697714	Tuberculosis
SAMN10697715	Tuberculosis
SAMN10697716	Tuberculosis
SAMN10697717	Tuberculosis
SAMN10697718	Tuberculosis
SAMN10697719	Tuberculosis
SAMN10697720	Tuberculosis
SAMN10697721	Tuberculosis
SAMN10697722	Tuberculosis
SAMN10697723	Tuberculosis
SAMN10697724	Tuberculosis
SAMN10697725	Tuberculosis
SAMN10697726	Tuberculosis
SAMN10697727	Tuberculosis
SAMN10697728	Tuberculosis
SAMN10697729	Tuberculosis
SAMN10697730	Tuberculosis
SAMN10697731	Tuberculosis
SAMN10697732	Tuberculosis
SAMN10697733	Tuberculosis
SAMN10697734	Tuberculosis
SAMN10697735	Tuberculosis
SAMN10697736	Tuberculosis
SAMN10697737	Tuberculosis
SAMN10697738	Tuberculosis
SAMN10697739	Tuberculosis
SAMN10697740	Tuberculosis
SAMN10697741	Tuberculosis
SAMN10697742	Tuberculosis
SAMN10697743	Tuberculosis
SAMN10697744	Tuberculosis
SAMN10697745	Tuberculosis
SAMN10697746	Tuberculosis
SAMN10697747	Tuberculosis
SAMN10697748	Tuberculosis
SAMN10697749	Tuberculosis
SAMN10697750	Tuberculosis
SAMN10697751	Tuberculosis
SAMN10697752	Tuberculosis
SAMN10697753	Tuberculosis
SAMN10697754	Tuberculosis
SAMN10697755	Tuberculosis
SAMN10697756	Tuberculosis
SAMN10697757	Tuberculosis
SAMN10697758	Tuberculosis
SAMN10697759	Tuberculosis
SAMN10697760	Tuberculosis
SAMN10697761	Tuberculosis
SAMN10697762	Tuberculosis
SAMN10697763	Tuberculosis
SAMN10697764	Tuberculosis
SAMN10697765	Tuberculosis
SAMN10697766	Tuberculosis
SAMN10697767	Tuberculosis
SAMN10697768	Tuberculosis
SAMN10697769	Tuberculosis
SAMN10697770	Tuberculosis
SAMN10697771	Tuberculosis
SAMN10697772	Tuberculosis
SAMN10697773	Tuberculosis
SAMN10697774	Tuberculosis
SAMN10697775	Tuberculosis
SAMN10697776	Tuberculosis
SAMN10697777	Tuberculosis
SAMN10697778	Tuberculosis
SAMN10697779	Tuberculosis
SAMN10697780	Tuberculosis
SAMN10697781	Tuberculosis
SAMN10697782	Tuberculosis
SAMN10697783	Tuberculosis
SAMN10697784	Tuberculosis
SAMN10697785	Tuberculosis
SAMN10697786	Tuberculosis
SAMN10697787	Tuberculosis
SAMN10697788	Tuberculosis
SAMN10697789	Tuberculosis
SAMN10697790	Tuberculosis
SAMN10697791	Tuberculosis
SAMN10697792	Tuberculosis
SAMN10697793	Tuberculosis
SAMN10697794	Tuberculosis
SAMN10697795	Tuberculosis
SAMN10697796	Tuberculosis
SAMN10697797	Tuberculosis
SAMN10697798	Tuberculosis
SAMN10697799	Tuberculosis
SAMN10697800	Tuberculosis
SAMN10697801	Tuberculosis
SAMN10697802	Tuberculosis
SAMN10697803	Tuberculosis
SAMN10697804	Tuberculosis
SAMN10697805	Tuberculosis
SAMN10697806	Tuberculosis
SAMN10697807	Tuberculosis
SAMN10697808	Tuberculosis
SAMN10697809	Tuberculosis
SAMN10697810	Tuberculosis
SAMN10697811	Tuberculosis
SAMN10697812	Tuberculosis
SAMN10697813	Tuberculosis
SAMN10697814	Tuberculosis
SAMN10697815	Tuberculosis
SAMN10697816	Tuberculosis
SAMN10697817	Tuberculosis
SAMN10697818	Tuberculosis
SAMN10697819	Tuberculosis
SAMN10697820	Tuberculosis
SAMN10697821	Tuberculosis
SAMN10697822	Tuberculosis
SAMN10697823	Tuberculosis
SAMN10697824	Tuberculosis
SAMN10697825	Tuberculosis
SAMN10697826	Tuberculosis
SAMN10697827	Tuberculosis
SAMN10697828	Tuberculosis
SAMN10697829	Tuberculosis
SAMN10697830	Tuberculosis
SAMN10697831	Tuberculosis
SAMN10697832	Tuberculosis
SAMN10697833	Tuberculosis
SAMN10697834	Tuberculosis
SAMN10697835	Tuberculosis
SAMN10697836	Tuberculosis
SAMN10697837	Tuberculosis
SAMN10697838	Tuberculosis
SAMN10697839	Tuberculosis
SAMN10697840	Tuberculosis
SAMN10697841	Tuberculosis
SAMN10697842	Tuberculosis
SAMN10697843	Tuberculosis
SAMN10697844	Tuberculosis
SAMN10697845	Tuberculosis
SAMN10697846	Tuberculosis
SAMN10697847	Tuberculosis
SAMN10697848	Tuberculosis
SAMN10697849	Tuberculosis
SAMN10697850	Tuberculosis
SAMN10697851	Tuberculosis
SAMN10697852	Tuberculosis
SAMN10697853	Tuberculosis
SAMN10697854	Tuberculosis
SAMN10697855	Tuberculosis
SAMN10697856	Tuberculosis
SAMN10697857	Tuberculosis
SAMN10697858	Tuberculosis
SAMN10697859	Tuberculosis
SAMN10697860	Tuberculosis
SAMN10697861	Tuberculosis
SAMN10697862	Tuberculosis
SAMN10697863	Tuberculosis
SAMN10697864	Tuberculosis
SAMN10697865	Tuberculosis
SAMN10697866	Tuberculosis
SAMN10697867	Tuberculosis
SAMN10697868	Tuberculosis
SAMN10697869	Tuberculosis
SAMN10697870	Tuberculosis
SAMN10697871	Tuberculosis
SAMN10697872	Tuberculosis
SAMN10697873	Tuberculosis
SAMN10697874	Tuberculosis
SAMN10697875	Tuberculosis
SAMN10697876	Tuberculosis
SAMN10697877	Tuberculosis
SAMN10697878	Tuberculosis
SAMN10697879	Tuberculosis
SAMN10697880	Tuberculosis
SAMN10697881	Tuberculosis
SAMN10697882	Tuberculosis
SAMN10697883	Tuberculosis
SAMN10697884	Tuberculosis
SAMN10697885	Tuberculosis
SAMN10697886	Tuberculosis
SAMN10697887	Tuberculosis
SAMN10697888	Tuberculosis
SAMN10697889	Tuberculosis
SAMN10697890	Tuberculosis
SAMN10697891	Tuberculosis
SAMN10697892	Tuberculosis
SAMN10697893	Tuberculosis
SAMN10697894	Tuberculosis
SAMN10697895	Tuberculosis
SAMN11056472	Chronic pulmonary tuberculosis
SAMN11523165	Tuberculosis
SAMN11620726	Tuberculosis
SAMN11620747	Tuberculosis
SAMN11620770	Tuberculosis
SAMN11620795	Tuberculosis
SAMN11620796	Tuberculosis
SAMN11620797	Tuberculosis
SAMN11620807	Tuberculosis
SAMN11620808	Tuberculosis
SAMN11620809	Tuberculosis
SAMN11620810	Tuberculosis
SAMN11620847	Tuberculosis
SAMN11620937	Tuberculosis
SAMN11954087	Tuberculosis
SAMN12126281	Pulmonary Tuberculosis
SAMN12216145	Tuberculosis
SAMN12325189	Tuberculosis
SAMN12325190	Tuberculosis
SAMN12325191	Tuberculosis
SAMN12325192	Tuberculosis
SAMN12325193	Tuberculosis
SAMN12325194	Tuberculosis
SAMN12325195	Tuberculosis
SAMN12325196	Tuberculosis
SAMN12325197	Tuberculosis
SAMN12325198	Tuberculosis
SAMN12325199	Tuberculosis
SAMN12325200	Tuberculosis
SAMN12325201	Tuberculosis
SAMN12325202	Tuberculosis
SAMN12325203	Tuberculosis
SAMN12325204	Tuberculosis
SAMN12325205	Tuberculosis
SAMN12325206	Tuberculosis
SAMN12325207	Tuberculosis
SAMN12325208	Tuberculosis
SAMN12325209	Tuberculosis
SAMN12325210	Tuberculosis
SAMN12325211	Tuberculosis
SAMN12325212	Tuberculosis
SAMN12325213	Tuberculosis
SAMN12325214	Tuberculosis
SAMN12325215	Tuberculosis
SAMN12325216	Tuberculosis
SAMN12325217	Tuberculosis
SAMN12325218	Tuberculosis
SAMN12325219	Tuberculosis
SAMN12325220	Tuberculosis
SAMN12325221	Tuberculosis
SAMN12325222	Tuberculosis
SAMN12325223	Tuberculosis
SAMN12325224	Tuberculosis
SAMN12325225	Tuberculosis
SAMN12325226	Tuberculosis
SAMN12325227	Tuberculosis
SAMN12325228	Tuberculosis
SAMN12325229	Tuberculosis
SAMN12325230	Tuberculosis
SAMN12325231	Tuberculosis
SAMN12325232	Tuberculosis
SAMN12325233	Tuberculosis
SAMN12325234	Tuberculosis
SAMN12325235	Tuberculosis
SAMN12325236	Tuberculosis
SAMN12325237	Tuberculosis
SAMN12325238	Tuberculosis
SAMN12325239	Tuberculosis
SAMN12325240	Tuberculosis
SAMN12325241	Tuberculosis
SAMN12325242	Tuberculosis
SAMN12325243	Tuberculosis
SAMN12325244	Tuberculosis
SAMN12325245	Tuberculosis
SAMN12325246	Tuberculosis
SAMN12325247	Tuberculosis
SAMN12325248	Tuberculosis
SAMN12325249	Tuberculosis
SAMN12325250	Tuberculosis
SAMN12325251	Tuberculosis
SAMN12325252	Tuberculosis
SAMN12325253	Tuberculosis
SAMN12325254	Tuberculosis
SAMN12325255	Tuberculosis
SAMN12325256	Tuberculosis
SAMN12325257	Tuberculosis
SAMN12325258	Tuberculosis
SAMN12325259	Tuberculosis
SAMN12325260	Tuberculosis
SAMN12325261	Tuberculosis
SAMN12325262	Tuberculosis
SAMN12325263	Tuberculosis
SAMN12325264	Tuberculosis
SAMN12325265	Tuberculosis
SAMN12325266	Tuberculosis
SAMN12325267	Tuberculosis
SAMN12325268	Tuberculosis
SAMN12325269	Tuberculosis
SAMN12325270	Tuberculosis
SAMN12325271	Tuberculosis
SAMN12325272	Tuberculosis
SAMN12325273	Tuberculosis
SAMN12325274	Tuberculosis
SAMN12325275	Tuberculosis
SAMN12325276	Tuberculosis
SAMN12325277	Tuberculosis
SAMN12325278	Tuberculosis
SAMN12325279	Tuberculosis
SAMN12325280	Tuberculosis
SAMN12388335	Tuberculosis
SAMN12388336	Tuberculosis
SAMN12429790	Pulmonary Tuberculosis
SAMN12429791	Pulmonary Tuberculosis
SAMN12429792	Pulmonary Tuberculosis
SAMN12429793	Pulmonary Tuberculosis
SAMN12429794	Pulmonary Tuberculosis
SAMN12429795	Pulmonary Tuberculosis
SAMN12429796	Pulmonary Tuberculosis
SAMN12429797	Pulmonary Tuberculosis
SAMN12429798	Pulmonary Tuberculosis
SAMN12429799	Pulmonary Tuberculosis
SAMN12429800	Pulmonary Tuberculosis
SAMN12429801	Pulmonary Tuberculosis
SAMN12429802	Pulmonary Tuberculosis
SAMN12429803	Pulmonary Tuberculosis
SAMN12429804	Pulmonary Tuberculosis
SAMN12429805	Pulmonary Tuberculosis
SAMN12429806	Pulmonary Tuberculosis
SAMN12429807	Pulmonary Tuberculosis
SAMN12429808	Pulmonary Tuberculosis
SAMN12429809	Pulmonary Tuberculosis
SAMN12429810	Pulmonary Tuberculosis
SAMN12429811	Pulmonary Tuberculosis
SAMN12429812	Pulmonary Tuberculosis
SAMN12429813	Pulmonary Tuberculosis
SAMN12429814	Pulmonary Tuberculosis
SAMN12429815	Pulmonary Tuberculosis
SAMN12429816	Pulmonary Tuberculosis
SAMN12429817	Pulmonary Tuberculosis
SAMN12429818	Pulmonary Tuberculosis
SAMN12429819	Pulmonary Tuberculosis
SAMN12429820	Pulmonary Tuberculosis
SAMN12429821	Pulmonary Tuberculosis
SAMN12429822	Pulmonary Tuberculosis
SAMN12429823	TB lymphadenitis
SAMN12429824	Pulmonary Tuberculosis
SAMN12429825	Pulmonary Tuberculosis
SAMN12429826	Pulmonary Tuberculosis
SAMN12429827	Pulmonary Tuberculosis
SAMN12429828	Pulmonary Tuberculosis
SAMN12429829	Pulmonary Tuberculosis
SAMN12537184	Tuberculosis
SAMN12537185	Tuberculosis
SAMN12537186	Tuberculosis
SAMN12537187	Tuberculosis
SAMN12537188	Tuberculosis
SAMN12726462	Tuberculosis
SAMN12785870	Pulmonary Tuberculosis
SAMN12816907	Tuberculosis
SAMN12877714	Tuberculosis
SAMN12878103	Tuberculosis
SAMN12878104	Tuberculosis
SAMN12878105	Tuberculosis
SAMN12878106	Tuberculosis
SAMN12878107	Tuberculosis
SAMN12878108	Tuberculosis
SAMN12878111	Tuberculosis
SAMN12911364	Tuberculosis
SAMN13556300	Tuberculosis
SAMN14053477	Tuberculosis
SAMN14053478	Tuberculosis
SAMN14299286	Tuberculosis
SAMN14299287	Tuberculosis
SAMN14598146	Pulmonary Tuberculosis
SAMN15348336	Tuberculosis
SAMN15753983	Tuberculosis
SAMN15832760	Tuberculosis
SAMN15850497	Tuberculosis
SAMN15963001	Pulmonary Tuberculosis
SAMN16406462	Tuberculosis
SAMN16406463	Tuberculosis
SAMN16406464	Tuberculosis
SAMN16406465	Tuberculosis
SAMN16406466	Tuberculosis
SAMN16406467	Tuberculosis
SAMN16406468	Tuberculosis
SAMN16406469	Tuberculosis
SAMN16406470	Tuberculosis
SAMN16406471	Tuberculosis
SAMN16406472	Tuberculosis
SAMN16406473	Tuberculosis
SAMN16406474	Tuberculosis
SAMN16406475	Tuberculosis
