BioSample	host_disease
SAMN05916308	Tuberculosis
SAMN05916309	Tuberculosis
SAMN05916310	Tuberculosis
SAMN05916311	Tuberculosis
SAMN05916312	Tuberculosis
SAMN05916313	Tuberculosis
SAMN05916314	Tuberculosis
SAMN05916315	Tuberculosis
SAMN05916316	Tuberculosis
SAMN05916317	Tuberculosis
SAMN05916318	Tuberculosis
SAMN05916319	Tuberculosis
SAMN05916320	Tuberculosis
SAMN05916321	Tuberculosis
SAMN05916322	Tuberculosis
SAMN05916323	Tuberculosis
SAMN05916324	Tuberculosis
SAMN05916325	Tuberculosis
SAMN05916326	Tuberculosis
SAMN05916327	Tuberculosis
SAMN05916328	Tuberculosis
SAMN05916329	Tuberculosis
SAMN05916330	Tuberculosis
SAMN05916331	Tuberculosis
SAMN05916332	Tuberculosis
SAMN05916333	Tuberculosis
SAMN05916334	Tuberculosis
SAMN05916335	Tuberculosis
SAMN05916336	Tuberculosis
SAMN05916337	Tuberculosis
SAMN05916338	Tuberculosis
SAMN05916339	Tuberculosis
SAMN05916340	Tuberculosis
SAMN05916341	Tuberculosis
SAMN05916342	Tuberculosis
SAMN05916343	Tuberculosis
SAMN05916344	Tuberculosis
SAMN05916345	Tuberculosis
SAMN05916346	Tuberculosis
SAMN05916347	Tuberculosis
SAMN05916348	Tuberculosis
SAMN05916349	Tuberculosis
SAMN05916350	Tuberculosis
SAMN05916351	Tuberculosis
SAMN05916352	Tuberculosis
SAMN05916353	Tuberculosis
SAMN05916354	Tuberculosis
SAMN05916355	Tuberculosis
SAMN05916356	Tuberculosis
SAMN05916357	Tuberculosis
SAMN05916358	Tuberculosis
SAMN05916382	Tuberculosis
SAMN05916383	Tuberculosis
SAMN05916384	Tuberculosis
SAMN05916385	Tuberculosis
SAMN05916386	Tuberculosis
SAMN05916387	Tuberculosis
SAMN05916388	Tuberculosis
SAMN05916389	Tuberculosis
SAMN05916390	Tuberculosis
SAMN05916391	Tuberculosis
SAMN05916392	Tuberculosis
SAMN05916393	Tuberculosis
SAMN05916394	Tuberculosis
SAMN05916395	Tuberculosis
SAMN05916396	Tuberculosis
SAMN05916397	Tuberculosis
SAMN05916398	Tuberculosis
SAMN05916399	Tuberculosis
SAMN05916400	Tuberculosis
SAMN05916401	Tuberculosis
SAMN05916402	Tuberculosis
SAMN05916403	Tuberculosis
SAMN05916404	Tuberculosis
SAMN05916405	Tuberculosis
SAMN05916406	Tuberculosis
SAMN05916407	Tuberculosis
SAMN05916408	Tuberculosis
SAMN05916409	Tuberculosis
SAMN05916410	Tuberculosis
SAMN05916411	Tuberculosis
SAMN05916412	Tuberculosis
SAMN05916413	Tuberculosis
SAMN05916414	Tuberculosis
SAMN05916415	Tuberculosis
SAMN05916416	Tuberculosis
SAMN05916417	Tuberculosis
SAMN05916418	Tuberculosis
SAMN05916419	Tuberculosis
SAMN05916420	Tuberculosis
SAMN05916421	Tuberculosis
SAMN05916422	Tuberculosis
SAMN05916423	Tuberculosis
SAMN05916424	Tuberculosis
SAMN05916425	Tuberculosis
SAMN05916426	Tuberculosis
SAMN05916427	Tuberculosis
SAMN05916428	Tuberculosis
SAMN05916429	Tuberculosis
SAMN05916430	Tuberculosis
SAMN05916431	Tuberculosis
SAMN05916432	Tuberculosis
SAMN05916433	Tuberculosis
SAMN05916434	Tuberculosis
SAMN05916435	Tuberculosis
SAMN05916436	Tuberculosis
SAMN05916437	Tuberculosis
SAMN05916438	Tuberculosis
SAMN05916439	Tuberculosis
SAMN05916440	Tuberculosis
SAMN05916441	Tuberculosis
SAMN05916442	Tuberculosis
SAMN05916443	Tuberculosis
SAMN05916444	Tuberculosis
SAMN05916445	Tuberculosis
SAMN05916446	Tuberculosis
SAMN05916447	Tuberculosis
SAMN05916448	Tuberculosis
SAMN05916449	Tuberculosis
SAMN05916450	Tuberculosis
SAMN05916451	Tuberculosis
SAMN05916452	Tuberculosis
SAMN05916453	Tuberculosis
SAMN05916454	Tuberculosis
SAMN05916455	Tuberculosis
SAMN05916456	Tuberculosis
SAMN05916457	Tuberculosis
SAMN05916458	Tuberculosis
SAMN05916459	Tuberculosis
SAMN05916460	Tuberculosis
SAMN05918520	Tuberculosis
SAMN05918521	Tuberculosis
SAMN05918522	Tuberculosis
SAMN05918523	Tuberculosis
SAMN05918524	Tuberculosis
SAMN05918525	Tuberculosis
SAMN05918526	Tuberculosis
SAMN05918527	Tuberculosis
SAMN05918528	Tuberculosis
SAMN05918529	Tuberculosis
SAMN05918530	Tuberculosis
SAMN05918531	Tuberculosis
SAMN05918532	Tuberculosis
SAMN05918533	Tuberculosis
SAMN05918534	Tuberculosis
SAMN05918535	Tuberculosis
SAMN05918536	Tuberculosis
SAMN05918537	Tuberculosis
SAMN05918538	Tuberculosis
SAMN05918539	Tuberculosis
SAMN05918540	Tuberculosis
SAMN05918541	Tuberculosis
SAMN05918542	Tuberculosis
SAMN05918543	Tuberculosis
SAMN05918544	Tuberculosis
SAMN05918545	Tuberculosis
SAMN05918546	Tuberculosis
SAMN05918547	Tuberculosis
SAMN05918548	Tuberculosis
SAMN05918549	Tuberculosis
SAMN05918550	Tuberculosis
SAMN05918551	Tuberculosis
SAMN05918552	Tuberculosis
SAMN05918553	Tuberculosis
SAMN05918554	Tuberculosis
SAMN05918555	Tuberculosis
SAMN05918556	Tuberculosis
SAMN05918557	Tuberculosis
SAMN05918558	Tuberculosis
SAMN05918559	Tuberculosis
SAMN05918560	Tuberculosis
SAMN05918561	Tuberculosis
SAMN05918562	Tuberculosis
SAMN05918563	Tuberculosis
SAMN05918564	Tuberculosis
SAMN05918568	Tuberculosis
SAMN05918569	Tuberculosis
SAMN05918570	Tuberculosis
SAMN05918571	Tuberculosis
SAMN05918572	Tuberculosis
SAMN05918573	Tuberculosis
SAMN05918574	Tuberculosis
SAMN05918575	Tuberculosis
