BioSample	collection_date
SAMEA1403783	2009
SAMEA1403784	2009
SAMEA1403785	2009
SAMEA1403786	2009
SAMEA1403787	2009
SAMEA1403790	2009
SAMEA1403791	2009
SAMEA1403792	2008
SAMEA1403793	2009
SAMEA1403795	2009
SAMEA1403796	2009
SAMEA1403797	2008
SAMEA1403798	2009
SAMEA1403799	2009
SAMEA1403800	2009
SAMEA1403801	2009
SAMEA1403803	2008
SAMEA1403805	2009
SAMEA1403806	2008
SAMEA1403807	2009
SAMEA1403808	2009
SAMEA1403810	2009
SAMEA1403811	2009
SAMEA1403812	2009
SAMEA1403813	2009
SAMEA1403814	2009
SAMEA1403815	2008
SAMEA1403816	2008
SAMEA1403817	2009
SAMEA1403818	2009
SAMEA1403819	2009
SAMEA1403821	2009
SAMEA1403822	2008
SAMEA1403823	2009
SAMEA1403824	2009
SAMEA1403825	2009
SAMEA1403826	2009
SAMEA1403827	2008
SAMEA1403828	2008
SAMEA1403829	2009
SAMEA1403830	2009
SAMEA1403831	2009
SAMEA1403832	2008
SAMEA1403833	2008
SAMEA1403834	2009
SAMEA1403835	2009
SAMEA1403836	2009
SAMEA1403837	2008
SAMEA1403838	2009
SAMEA1403840	2009
SAMEA1403841	2009
SAMEA1403842	2008
SAMEA1403843	2009
SAMEA1403845	2008
SAMEA1403847	2009
SAMEA1403848	2008
SAMEA1403849	2009
SAMEA1403850	2009
SAMEA1403851	2009
SAMEA1403852	2008
SAMEA1403853	2008
SAMEA1403854	2009
SAMEA1403855	2009
SAMEA1403856	2009
SAMEA1403857	2008
SAMEA1403858	2009
SAMEA1403859	2009
SAMEA1403860	2009
SAMEA1403861	2008
SAMEA1403862	2009
SAMEA1403863	2009
SAMEA1403864	2009
SAMEA1403865	2009
SAMEA1403866	2008
SAMEA1403867	2009
SAMEA1403868	2008
SAMEA1403869	2009
SAMEA1403870	2009
SAMEA1403871	2008
SAMEA1403872	2009
SAMEA1403873	2009
SAMEA1403874	2008
SAMEA1403876	2009
SAMEA1403877	2009
SAMEA1403878	2009
SAMEA1403879	2009
SAMEA1403880	2009
SAMEA1403882	2009
SAMEA1403883	2009
SAMEA1403884	2008
SAMEA1403885	2009
SAMEA1403886	2009
SAMEA1403887	2009
SAMEA1403888	2009
SAMEA1403890	2009
SAMEA1403891	2009
SAMEA1403892	2009
SAMEA1403893	2009
SAMEA1403894	2009
SAMEA1403895	2009
SAMEA1403896	2008
SAMEA1403897	2008
SAMEA1403898	2009
SAMEA1403899	2009
SAMEA1403900	2008
SAMEA1403901	2009
SAMEA1403902	2009
SAMEA1403903	2009
SAMEA1403904	2010
SAMEA1403905	2009
SAMEA1403906	2009
SAMEA1403907	2009
SAMEA1403908	2008
SAMEA1403909	2009
SAMEA1403910	2009
SAMEA1403911	2009
SAMEA1403912	2009
SAMEA1403913	2008
SAMEA1403914	2008
SAMEA1403915	2009
SAMEA1403916	2009
SAMEA1403917	2009
SAMEA1403918	2009
SAMEA1403919	2009
SAMEA1403920	2009
SAMEA1403921	2009
SAMEA1403922	2009
SAMEA1403923	2009
SAMEA1403924	2008
SAMEA1403925	2008
SAMEA1403927	2009
SAMEA1403928	2008
SAMEA1403929	2009
SAMEA1403930	2008
SAMEA1403931	2009
SAMEA1403932	2009
SAMEA1403933	2008
SAMEA1403934	2009
SAMEA1403935	2008
SAMEA1403936	2008
SAMEA1403937	2009
SAMEA1403938	2009
SAMEA1403939	2009
SAMEA1403940	2009
SAMEA1403941	2009
SAMEA1403942	2009
SAMEA1403943	2008
SAMEA1403945	2009
SAMEA1403948	2009
SAMEA1403949	2009
SAMEA1403950	2009
SAMEA1403951	2009
SAMEA1403952	2009
SAMEA1403953	2009
SAMEA1403954	2008
SAMEA1403955	2009
SAMEA1403956	2009
SAMEA1403957	2009
SAMEA1403958	2009
SAMEA1403959	2009
SAMEA1403960	2009
SAMEA1403961	2009
SAMEA1403962	2008
SAMEA1403963	2009
SAMEA1403964	2009
SAMEA1403965	2008
SAMEA1403966	2009
SAMEA1403969	2009
SAMEA1403970	2008
SAMEA1403971	2008
SAMEA1403972	2009
SAMEA1403973	2009
SAMEA1403974	2009
SAMEA1403975	2008
SAMEA1403976	2009
SAMEA1403977	2009
SAMEA1403978	2008
SAMEA1403979	2008
SAMEA1403980	2009
SAMEA1403981	2008
SAMEA1403982	2009
SAMEA1403983	2009
SAMEA1403984	2009
SAMEA1403985	2009
