BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	collection_date	common name	geo_loc_name	host	host_health_state	isolate	isolation_source	sample_name
SAMEA104394418	2017-11-21	2017-11-21	ERC000011	SAMEA104394418	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199790	ERS2012360	11054-14		Mycobacterium tuberculosis complex bacterium						11054-14
SAMEA104394428	2017-11-21	2017-11-21	ERC000011	SAMEA104394428	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199802	ERS2012370	11817-14		Mycobacterium tuberculosis complex bacterium						11817-14
SAMEA104394445	2017-11-21	2017-11-21	ERC000011	SAMEA104394445	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199824	ERS2012387	13018-13		Mycobacterium tuberculosis complex bacterium						13018-13
SAMEA104394446	2017-11-21	2017-11-21	ERC000011	SAMEA104394446	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199826	ERS2012388	1322-15		Mycobacterium tuberculosis complex bacterium						1322-15
SAMEA104394455	2017-11-21	2017-11-21	ERC000011	SAMEA104394455	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199836	ERS2012397	1754-15		Mycobacterium tuberculosis complex bacterium						1754-15
SAMEA104394469	2017-11-21	2017-11-21	ERC000011	SAMEA104394469	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199853	ERS2012411	2065-13		Mycobacterium tuberculosis complex bacterium						2065-13
SAMEA104394470	2017-11-21	2017-11-21	ERC000011	SAMEA104394470	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199855	ERS2012412	2090-14		Mycobacterium tuberculosis complex bacterium						2090-14
SAMEA104394476	2017-11-21	2017-11-21	ERC000011	SAMEA104394476	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199862	ERS2012418	2533-15		Mycobacterium tuberculosis complex bacterium						2533-15
SAMEA104394479	2017-11-21	2017-11-21	ERC000011	SAMEA104394479	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199866	ERS2012421	2568-15		Mycobacterium tuberculosis complex bacterium						2568-15
SAMEA104394481	2017-11-21	2017-11-21	ERC000011	SAMEA104394481	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199869	ERS2012423	258-15		Mycobacterium tuberculosis complex bacterium						258-15
SAMEA104394483	2017-11-21	2017-11-21	ERC000011	SAMEA104394483	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199872	ERS2012425	2611-13		Mycobacterium tuberculosis complex bacterium						2611-13
SAMEA104394486	2017-11-21	2017-11-21	ERC000011	SAMEA104394486	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199876	ERS2012428	2728-13		Mycobacterium tuberculosis complex bacterium						2728-13
SAMEA104394489	2017-11-21	2017-11-21	ERC000011	SAMEA104394489	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199880	ERS2012431	2866-13		Mycobacterium tuberculosis complex bacterium						2866-13
SAMEA104394490	2017-11-21	2017-11-21	ERC000011	SAMEA104394490	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199882	ERS2012432	2870-14		Mycobacterium tuberculosis complex bacterium						2870-14
SAMEA104394492	2017-11-21	2017-11-21	ERC000011	SAMEA104394492	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199885	ERS2012434	2987-14		Mycobacterium tuberculosis complex bacterium						2987-14
SAMEA104394505	2017-11-21	2017-11-21	ERC000011	SAMEA104394505	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199899	ERS2012447	3524-15		Mycobacterium tuberculosis complex bacterium						3524-15
SAMEA104394506	2017-11-21	2017-11-21	ERC000011	SAMEA104394506	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199901	ERS2012448	3525-15		Mycobacterium tuberculosis complex bacterium						3525-15
SAMEA104394511	2017-11-21	2017-11-21	ERC000011	SAMEA104394511	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199907	ERS2012453	3854-13		Mycobacterium tuberculosis complex bacterium						3854-13
SAMEA104394513	2017-11-21	2017-11-21	ERC000011	SAMEA104394513	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:01Z	public	ERR2199910	ERS2012455	3881-13		Mycobacterium tuberculosis complex bacterium						3881-13
SAMEA104394555	2017-11-21	2017-11-21	ERC000011	SAMEA104394555	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:02Z	public	ERR2199953	ERS2012497	4344-09		Mycobacterium tuberculosis complex bacterium						4344-09
SAMEA104394560	2017-11-21	2017-11-21	ERC000011	SAMEA104394560	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:02Z	public	ERR2199959	ERS2012502	4407-14		Mycobacterium tuberculosis complex bacterium						4407-14
SAMEA104394583	2017-11-21	2017-11-21	ERC000011	SAMEA104394583	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:03Z	public	ERR2199984	ERS2012525	4855-13		Mycobacterium tuberculosis complex bacterium						4855-13
SAMEA104394619	2017-11-21	2017-11-21	ERC000011	SAMEA104394619	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:03Z	public	ERR2200026	ERS2012561	531-15		Mycobacterium tuberculosis complex bacterium						531-15
SAMEA104394650	2017-11-21	2017-11-21	ERC000011	SAMEA104394650	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:04Z	public	ERR2200068	ERS2012592	6087-09		Mycobacterium tuberculosis complex bacterium						6087-09
SAMEA104394663	2017-11-21	2017-11-21	ERC000011	SAMEA104394663	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:04Z	public	ERR2200083	ERS2012605	6372-13		Mycobacterium tuberculosis complex bacterium						6372-13
SAMEA104394674	2017-11-21	2017-11-21	ERC000011	SAMEA104394674	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:05Z	public	ERR2200098	ERS2012616	7087-13		Mycobacterium tuberculosis complex bacterium						7087-13
SAMEA104394701	2017-11-21	2017-11-21	ERC000011	SAMEA104394701	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:05Z	public	ERR2200128	ERS2012643	9139-14		Mycobacterium tuberculosis complex bacterium						9139-14
SAMEA104394707	2017-11-21	2017-11-21	ERC000011	SAMEA104394707	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:05Z	public	ERR2200135	ERS2012649	9560-14		Mycobacterium tuberculosis complex bacterium						9560-14
SAMEA104394708	2017-11-21	2017-11-21	ERC000011	SAMEA104394708	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:05Z	public	ERR2200137	ERS2012650	9563-14		Mycobacterium tuberculosis complex bacterium						9563-14
SAMEA104394712	2017-11-21	2017-11-21	ERC000011	SAMEA104394712	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:06Z	public	ERR2200142	ERS2012654	9751-14		Mycobacterium tuberculosis complex bacterium						9751-14
SAMEA104394715	2017-11-21	2017-11-21	ERC000011	SAMEA104394715	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:06Z	public	ERR2200146	ERS2012657	9853-13		Mycobacterium tuberculosis complex bacterium						9853-13
SAMEA104394718	2017-11-21	2017-11-21	ERC000011	SAMEA104394718	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:06Z	public	ERR2200150	ERS2012660	998-15		Mycobacterium tuberculosis complex bacterium						998-15
SAMEA2533528	2016-06-13	2014-05-15	ERC000011	SAMEA2533528	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:34Z	public	ERR550863	ERS456930	9562-09								9562-09
SAMEA2533531	2016-06-13	2014-05-15	ERC000011	SAMEA2533531	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:34Z	public	ERR550867	ERS456933	5118-09								5118-09
SAMEA2533766	2016-06-13	2014-05-15	ERC000011	SAMEA2533766	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:41Z	public	ERR551194	ERS457168	4298-09								4298-09
SAMEA2533798	2016-06-13	2014-05-15	ERC000011	SAMEA2533798	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:42Z	public	ERR551240	ERS457200	8318-09								8318-09
SAMEA2533844	2016-06-13	2014-05-15	ERC000011	SAMEA2533844	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:43Z	public	ERR551298	ERS457246	9085-09								9085-09
SAMEA2533853	2016-06-13	2014-05-15	ERC000011	SAMEA2533853	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:43Z	public	ERR551315	ERS457255	9002-01								9002-01
SAMEA2534108	2016-06-13	2014-05-15	ERC000011	SAMEA2534108	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:50Z	public	ERR551674	ERS457510	4880-01								4880-01
SAMEA2534172	2016-06-13	2014-05-15	ERC000011	SAMEA2534172	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:52Z	public	ERR551757	ERS457574	6949-09								6949-09
SAMEA2534263	2016-06-13	2014-05-15	ERC000011	SAMEA2534263	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:55Z	public	ERR551881	ERS457665	2638-03								2638-03
SAMEA2534303	2016-06-13	2014-05-15	ERC000011	SAMEA2534303	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:56Z	public	ERR551937	ERS457705	6255-09								6255-09
SAMEA2534306	2016-06-13	2014-05-15	ERC000011	SAMEA2534306	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:56Z	public	ERR551941	ERS457708	4285-09								4285-09
SAMEA2534397	2016-06-13	2014-05-15	ERC000011	SAMEA2534397	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:58Z	public	ERR552074	ERS457799	10702-09								10702-09
SAMEA2534418	2016-06-13	2014-05-15	ERC000011	SAMEA2534418	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:21:59Z	public	ERR552108	ERS457820	4335-09								4335-09
SAMEA2534447	2016-06-13	2014-05-15	ERC000011	SAMEA2534447	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:00Z	public	ERR552149	ERS457849	7703-09								7703-09
SAMEA2534468	2016-06-13	2014-05-15	ERC000011	SAMEA2534468	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:00Z	public	ERR552181	ERS457870	8591-09								8591-09
SAMEA2534515	2016-06-13	2014-05-15	ERC000011	SAMEA2534515	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:01Z	public	ERR552251	ERS457917	2319-03								2319-03
SAMEA2534517	2016-06-13	2014-05-15	ERC000011	SAMEA2534517	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:01Z	public	ERR552253	ERS457919	10452-09								10452-09
SAMEA2534550	2016-06-13	2014-05-15	ERC000011	SAMEA2534550	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:02Z	public	ERR552295	ERS457952	10293-09								10293-09
SAMEA2534558	2016-06-13	2014-05-15	ERC000011	SAMEA2534558	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:03Z	public	ERR552313	ERS457960	3876-04								3876-04
SAMEA2534622	2016-06-13	2014-05-15	ERC000011	SAMEA2534622	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:04Z	public	ERR552396	ERS458024	4731-09								4731-09
SAMEA2534740	2016-06-13	2014-05-15	ERC000011	SAMEA2534740	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:07Z	public	ERR552572	ERS458142	6955-09								6955-09
SAMEA2534888	2016-06-13	2014-05-15	ERC000011	SAMEA2534888	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:12Z	public	ERR552764	ERS458290	5579-09								5579-09
SAMEA2534901	2016-06-13	2014-05-15	ERC000011	SAMEA2534901	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:12Z	public	ERR552783	ERS458303	3508-01								3508-01
SAMEA2534928	2016-06-13	2014-05-15	ERC000011	SAMEA2534928	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:13Z	public	ERR552821	ERS458330	4724-09								4724-09
SAMEA2534996	2016-06-13	2014-05-15	ERC000011	SAMEA2534996	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:14Z	public	ERR552916	ERS458398	8779-09								8779-09
SAMEA2535052	2016-06-13	2014-05-15	ERC000011	SAMEA2535052	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:16Z	public	ERR552986	ERS458454	9081-09								9081-09
SAMEA2535054	2016-06-13	2014-05-15	ERC000011	SAMEA2535054	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:16Z	public	ERR552993	ERS458456	6267-09								6267-09
SAMEA2535060	2016-06-13	2014-05-15	ERC000011	SAMEA2535060	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:16Z	public	ERR553001	ERS458462	9564-09								9564-09
SAMEA2535076	2016-06-13	2014-05-15	ERC000011	SAMEA2535076	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:17Z	public	ERR553020	ERS458478	8783-09								8783-09
SAMEA2535155	2016-06-13	2014-05-15	ERC000011	SAMEA2535155	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:19Z	public	ERR553124	ERS458557	10121-01								10121-01
SAMEA2535199	2016-06-13	2014-05-15	ERC000011	SAMEA2535199	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:20Z	public	ERR553185	ERS458601	7716-09								7716-09
SAMEA2535217	2016-06-13	2014-05-15	ERC000011	SAMEA2535217	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:20Z	public	ERR553214	ERS458619	8859-98								8859-98
SAMEA2535320	2016-06-13	2014-05-15	ERC000011	SAMEA2535320	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:23Z	public	ERR553342	ERS458722	7173-09								7173-09
SAMEA2535354	2016-06-13	2014-05-15	ERC000011	SAMEA2535354	FZB	FORSCHUNGSZENTRUM BORSTEL	2016-06-13T17:02:10Z	2014-05-15T10:22:24Z	public	ERR553384	ERS458756	2302-03								2302-03
SAMEA7723144	2021-05-11	2021-05-11	ERC000028	SAMEA7723144	Irish Mycobacteria Reference Laboratory (IMRL)	Irish Mycobacteria Reference Laboratory (IMRL)	2021-05-11T20:12:35Z	2021-05-11T20:12:35Z	public	ERR5908124	ERS5470523	10IE02	2010		Ireland	Homo sapiens	not provided	M. tuberculosis	clinical isolate	10IE02
